Name of Institution,Affiliation Number,State,District,Postal Address,Pincode,Std Code,Office Phone No,Residence Phone No,Fax No,Email,Website,Year of Foundation,Date of First Opening of School,Name of Principal/Head of Institution,Sex,Principals Educational Professional Qualifications,Administrative No of Experience(in Years),Teaching No of Experience(in Years),Status of the School,Type of Affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/Society/Managing Committee
BISHOP MOORE VIDYAPITH,930541,KERALA,ALAPPUZHA,KALAVANACODAM CHERTHALA ALAPPUZHA DISTT KERALA,686586,478,"2592202 ,",4.78E+12,2595469,johnbose.mglth@gamil.com,,2001,6/15/2008 0:00,JOHN BOSE,1,"MA,M.ED",24,30,Senior Secondary,Provisional,1/4/2015,31/ 3/ 2020,CENTRAL TRAVANCORE DIOCESAN TRUST
,,,,,,,,,,,,,,,,,,,,,,,
bsmm nirmala english medium school,931158,KERALA,ALAPPUZHA,"thanneermukkom p o cherthala, alappuzha",688527,478,"2583815 ,",,,bsmmprincipal@gmail.com,,1992,6/1/1992 0:00,Sreeja C R,0,ba . bed,3,22,Secondary School,Provisional,1/4/2017,31/3/2022,nirmala educational and charitable trust.reg.no.232/iv/2007
,,,,,,,,,,,,,,,,,,,,,,,
BUDDHA EDUCATION CENTRE,930571,KERALA,ALAPPUZHA,MUTHUKULAM NORTH CHEPPAD PO ALAPPUZHA DISTT KERALA,690507,479,"2470468 ,",2473276,,principalbuddhaeducationcentre@gmail.com,,2002,6/1/2001 0:00,RAJEEVAN R,1,,,,Secondary School,Provisional,1/4/2016,31/3/2021,T K DIVAKARAN MEMO CHARITABLE EDUCATIONAL TRUST
,,,,,,,,,,,,,,,,,,,,,,,
carmel english medium school,931132,KERALA,ALAPPUZHA,"thakazhy p o kuttanadu, alappuzha",688562,477,"2274448 ,",,,srsusymariacmc@gmail.com,,1992,6/1/1992 0:00,SUSAMMA ANTONY,0,ma bed,22,22,Secondary School,Provisional,1/4/2017,31/3/2022,holly queens providence charitable society
,,,,,,,,,,,,,,,,,,,,,,,
CHERUPUSHPA BETHANY SCHOOL,930132,KERALA,ALAPPUZHA,PB NO.1 CHUNNAKKARA PO ALAPPUZHA DISTT KERALA,690534,479,"2378081 , 356081",2378936,,ajupt19@gmail.com,,1979,6/25/2007 0:00,AJU P THOMAS,1,"M.A., M.Sc., B.Ed.",24,24,Senior Secondary,Provisional,1/4/2015,31/ 3/ 2020,BETHANI SOCIAL SOCIETY
,,,,,,,,,,,,,,,,,,,,,,,
CHINMAYA VIDYALAYA,930086,KERALA,ALAPPUZHA,KALARCODE SANATHANAPURAM POST ALAPPUZHA KERALA,688003,477,"2266840 , 262740",542640,,drlaliprakasan@gmail.com,http://www.kvpindore.org,1976,7/1/1987 0:00,Dr S LALI,2,M.A. B.Ed.,4,7,Senior Secondary,Provisional,1/4/2017,31/ 3/ 2022,CHINMAYA SEVA TRUST
,,,,,,,,,,,,,,,,,,,,,,,
CHINMAYA VIDYALAYA,930312,KERALA,ALAPPUZHA,CHENGANNUR P O THITTAMEL ALPUZHA DISTRICT KERALA,689121,479,"2450570 ,",4865230339,,preethisreekanth@gmail.com,http://ww.carmelagiri.com,1982,4/1/2005 0:00,PREETHI R,2,"M.A.,B.Ed.",16,15,Senior Secondary,Provisional,1/4/2014,31/ 3/ 2019,C C M EDNL CULTURAL & CHRBTL TRUST
,,,,,,,,,,,,,,,,,,,,,,,
CHRIST CHURCH VIDYAPITH,931074,KERALA,ALAPPUZHA,"BJSM Complex, Kodukulanji P. O.,Chengannur, Alappuzha",689508,479,"2367280 ,",,4792367280,samuelkurampala@gmail.com,http://www.csichristchurch.net,1999,6/2/1999 0:00,K G Samuel,2,MA . B.Ed,5,15,Secondary School,Provisional,1/4/2016,31/3/2021,CHRIST CHURCH EDUCATIONAL AND CHARITABLE SOCIETY OF CSI MADHYAKERALA
,,,,,,,,,,,,,,,,,,,,,,,
CRESCENT PUBLIC SCHOOL,930493,KERALA,ALAPPUZHA,"MANNACHERRY PO ALAPPUZHA DISTT., KERALA",688538,477,"2290922 ,",260110,260550,,,1982,6/10/2004 0:00,AMBILI P,2,"MA,M.Ed,Phd",3,15,Senior Secondary,Provisional,1/4/2014,31/ 3/ 2019,CRESCENT FOUNDATION
,,,,,,,,,,,,,,,,,,,,,,,
CROSS LAND PUBLIC SCHOOL,930363,KERALA,ALAPPUZHA,MAVELIKKARA KUNNAM DISTT ALAPPUZHA KERALA,690108,479,"2301616 ,",4792300300,,c.t.raj8535@gmail.com,,1994,6/25/2007 0:00,C THYAGARAJAN,1,"M A, B Ed",5,25,Senior Secondary,Provisional,1/4/2015,31/ 3/ 2020,NADAVLLIL EDN & CUL SOC
,,,,,,,,,,,,,,,,,,,,,,,
EAST POINT ENGLISH MEDIUM SCHOOL,931039,KERALA,ALAPPUZHA,NEAR K.S.D.P PATHIRAPALLY ALAPPUZHA,688521,477,"2258318 ,",,4772237688,malaanil99@gmail.com,,1999,6/1/1999 0:00,MALA SASI,0,"MSc ,Mphil",5,30,Secondary School,Provisional,1/4/2016,31/3/2021,EAST POINT EDUCATIONAL & CHARITABLE TRUST
,,,,,,,,,,,,,,,,,,,,,,,
FR THOMAS PORUKARA CENTRAL SCHOOL,930188,KERALA,ALAPPUZHA,"CHAMPAKULAM, DISTT ALAPUZHA, KERALA",688505,477,"2737276 ,",736276,,frpaulmangad@gmail.com,,1993,4/1/2005 0:00,PAUL MANGAD CMI,1,M. MED.,8,10,Senior Secondary,Provisional,1/4/2019,31/ 3/ 2020,MOUNT TABOR EDU CHARITABLE SOCIETY
,,,,,,,,,,,,,,,,,,,,,,,
Fr Xavier Aresseril Memorial English Medium School,931294,KERALA,ALAPPUZHA,Arthunkal,688530,478,"2572355 ,",9446067577,,remadevipremachandran@gmail.com,http://aresserilschool.webs.com/,2000,6/1/2000 0:00,REMADEVI K R,0,BSc BEd,10,20,Secondary School,Provisional,4/1/2017,31/3/2020,The Aresseril Charitable and Educational Trust Regd No A 660/96
,,,,,,,,,,,,,,,,,,,,,,,
GAYATHRI CENTRAL SCHOOL,930855,KERALA,ALAPPUZHA,SOUTH MONKUZHY PULLIKANNAKKU P.O KAYAMKULAM,690537,479,"2331398 ,",,0479-2339944,principalgayathri.cs@gmail.com,,2000,6/1/2000 0:00,LEENA SHANKAR,2,"M.A., B.Ed.",8,12,Secondary School,Provisional,1/4/2014,31/3/2019,GAYATHRI EDUCATIONAL AND CHARITABLE TRUST
,,,,,,,,,,,,,,,,,,,,,,,
GEORGIAN PUBLIC SCHOOL,930577,KERALA,ALAPPUZHA,EDATHUA PO ALAPPUZHA DISTT KERALA,689573,477,"2215852 , 2212293",9447659681,,fr.piousjoseph@gmail.com,georgianpublicschool.org,1997,5/21/2007 0:00,PIOUS JOSEPH,1,M.A. M.Ed.,,,Senior Secondary,Provisional,1/4/2015,31/ 3/ 2020,GEORGIAN EDUCATIONAL AND CHARITABLE TRUST
,,,,,,,,,,,,,,,,,,,,,,,
HOLY ANGELS ENGLISH SCHOOL,930233,KERALA,ALAPPUZHA,"EDATHUA PO ALLEPPEY, DISTT. ALAPPUZHA, KERALA",689573,477,"2212732 , 215132",2212232,2215132,drsilasabraham@gmail.com,,1993,4/1/2002 0:00,DR SILAS K ABRAHAM,1,,,,Senior Secondary,Provisional,1/4/2018,31/ 3/ 2019,MIDEL EDUCATION SOCIETY
,,,,,,,,,,,,,,,,,,,,,,,
Holy Angels Public School,930882,KERALA,ALAPPUZHA,Pallipad P.O Pin-690512 Dist-Allappuzha,690512,479,"2409280 ,",01628-281472,,holyangelvc@gmail.com,,1995,5/15/1995 0:00,V C KURIAN,2,"B Sc,B Ed",5,24,Senior Secondary,Provisional,1/4/2017,31/ 3/ 2019,MAR DIONIOUS MEMORIAL CHARITABLE SOCIETY NO. A 1592
,,,,,,,,,,,,,,,,,,,,,,,
holy family visitation public school,931123,KERALA,ALAPPUZHA,"katto p.o kalavo, ambalappuzha,",688522,477,"2249882 ,",,,pereirajaya@gmail.com,,2003,6/2/2003 0:00,JAYA PEREIRA,0,m.a bed,10,15,Secondary School,Provisional,1/4/2017,31/3/2022,holy family educational trust
,,,,,,,,,,,,,,,,,,,,,,,
HOLY MARY CENTRAL SCHOOL,930184,KERALA,ALAPPUZHA,PERUNGALA P.O. KAKKANAD KAYAMKULAM ALAPPUZHA DISTT KERALA,690559,479,"2444104 ,",444104,,lsaabraham@yahoo.com,,1987,1/14/2000 0:00,ELSIE ABRAHAM,2,M.A B.ed. Phd,15,5,Senior Secondary,Provisional,1/4/2016,31/ 3/ 2021,ST. MARY'S EDN.& CUL. TRUST
,,,,,,,,,,,,,,,,,,,,,,,
HOLY TRINITY SCHOOL,930442,KERALA,ALAPPUZHA,KP ROAD KAYAMKULAM PO ALAPPUZHA KERALA,690502,479,"2444456 ,",444422,,mohasutu@gmail.com,,1994,6/5/2000 0:00,MOHANDAS V K,2,"MSc,BEd",4,7,Senior Secondary,Provisional,1/4/2014,31/ 3/ 2019,HOLY TRINITY EDU AND CHARI TRUST
,,,,,,,,,,,,,,,,,,,,,,,
HOLY TRINITY VIDYA BHAVAN,930186,KERALA,ALAPPUZHA,KARTHIGAPPALLY P.O. DIST. ALAPUZHA KERALA,690516,479,"2485974 ,",0161-2772911,,trinityschool@mail.com,,1987,4/1/2002 0:00,Latha B Nair,1,"M.Sc., B.Ed.",34,14,Senior Secondary,Provisional,1/4/2016,31/ 3/ 2021,THE TRINITY TRUST
,,,,,,,,,,,,,,,,,,,,,,,
huda trust public school,931125,KERALA,ALAPPUZHA,"kumarapuram p.o.haripad, karthikapally, allappuzha.",690548,479,"2417005 ,",,4792410105,chantam5848@gmail.com,,1990,6/4/1990 0:00,CHANDRAN,0,bsc. bed,3,15,Secondary School,Provisional,1/4/2017,31/3/2022,huda trust
,,,,,,,,,,,,,,,,,,,,,,,
INDIRA JANARDHANAN VIDYA MANDIR,930168,KERALA,ALAPPUZHA,MARTHORVATTOM P.O CHERTHALA P.O.CHERTHALA KERALA,688545,478,"2821075 ,",331163,,PRINCIPAL@IJVM.CO.IN,,1992,6/25/2007 0:00,SREEJA CR,2,"m.a. , m.ed.",4,20,Senior Secondary,Provisional,1/4/2015,31/ 3/ 2020,I.J. EDNL. & CHARITABLE TRUST
,,,,,,,,,,,,,,,,,,,,,,,
JANASAKTHI PUBLIC SCHOOL,930505,KERALA,ALAPPUZHA,VELANCHIRA PATTOLI MARKET PO ALAPUZHA DISTT KERALA,690531,479,"2432959 ,",2431848,2215132,rsajeev1919@gmail.com,,1995,6/25/2007 0:00,R SAJEEV,1,"M.Sc., M.Phil., B.Ed.",33,33,Senior Secondary,Provisional,1/4/2015,31/ 3/ 2020,J EDU CULTURAL & CHARITABLE TRUST
,,,,,,,,,,,,,,,,,,,,,,,
JAWAHAR NAVODAYA VIDYALAYA,940012,KERALA,ALAPPUZHA,CHENNITHALA P.O ALAPPUZHA DIST KERALA,690105,479,"2322571 ,",650386,2536228,vickramannair@yahoo.co.in,,1992,3/31/2011 0:00,P VICKRAMAN NAIR,1,M.A.M.Phil.M.Ed,10,19,Senior Secondary,Provisional,1/4/2016,31/ 3/ 2019,NAVODAYA VIDYALAYA SAMITI
,,,,,,,,,,,,,,,,,,,,,,,
Jyothi Nikethan English Medium School,930902,KERALA,ALAPPUZHA,P.B No. 4 Thiruvampady P.O,688002,477,"2287780 ,",,0477 226 9232,kallupura@hotmail.com,,2002,5/8/2002 0:00,SEN KALLUPURA,0,"M. Sc, B. Ed, SET",4,7,Senior Secondary,Provisional,1/4/2017,31/ 3/ 2022,Master Vision Charitable Trust
,,,,,,,,,,,,,,,,,,,,,,,
K E CARMEL CENTRAL SCHOOL,930406,KERALA,ALAPPUZHA,MUHAMMA PO ALAPPUZHA KERALA,688525,478,"2864430 ,",4782868747,,mthengumpally@gmail.com,,2000,4/2/2001 0:00,Fr Dr MATHEW THENGUMPALLY CMI,1,"M.A,B.Ed,Ph.D,CPEUSA",14,16,Senior Secondary,Provisional,1/4/2018,31/ 3/ 2023,NAZARETH CARMEL EDN CHARI TRUST
,,,,,,,,,,,,,,,,,,,,,,,
"K E CARMEL PUBLIC SCHOOL, KAINAKARY",931094,KERALA,ALAPPUZHA,KAINAKARY P O KUTTANADU ALAPPUZHA,688501,477,"2725675 ,",,,ayyamkaryjoseph8@gmail.com,,2003,6/2/2003 0:00,Fr JOSEPH AYYAMKARY CMI,0,"BA, BEd",10,18,Secondary School,Provisional,1/4/2017,31/3/2022,KURIAKOSE ELIAS CARMEL EDUCATIONAL AND CHARITABLE TRUST
,,,,,,,,,,,,,,,,,,,,,,,
KENDRIYA VIDYALAYA,900026,KERALA,ALAPPUZHA,"N T P C KAYAMKULAM CHEPPAD PO, DISTT ALAPPUZHA, KERALA",690507,479,"2419058 ,",3440839,2580425,girisankaran@gmail.com,,1999,4/1/1991 0:00,R GIRI SANKARAN THAMPI,1,M.A. Ph.D. M.Ed.,9,29,Senior Secondary,Provisional,1/4/2015,31/ 3/ 2017,KENDRIYA VIDYALAYA SANGATHAN
,,,,,,,,,,,,,,,,,,,,,,,
LEO XIII ENGLISH MEDIUM SCHOOL,930912,KERALA,ALAPPUZHA,"AVALOOKUNNU PO , KALATH WARD, POOMTHOPE, ALAPPUZHA",688006,477,"2236566 ,",,(0477) 224 6232,leoxiiiemkalath@gmail.com,,1966,6/1/1966 0:00,Agnes Rodrigues,2,,,,Secondary School,Provisional,1/4/2015,31/3/2020,LEO XIII EDUCATIONAL SOCIETY
,,,,,,,,,,,,,,,,,,,,,,,
LITTLE FLOWER PUBLIC SCHOOL,930683,KERALA,ALAPPUZHA,KALAVOOR PO ALAPUZHA DISTT KERALA,688522,478,"2860276 , 2869076",,,leemamathewgodslove@gmail.com,,2002,7/1/1988 0:00,Mary Girija,2,,14,,Senior Secondary,Provisional,1/4/2018,31/ 3/ 2020,CORP. MANAGMENT OF SCHOOL DISCASE OF ALLEPPY
,,,,,,,,,,,,,,,,,,,,,,,
M E S ENGLISH MEDIUM SCHOOL,930293,KERALA,ALAPPUZHA,"PUNNAPRA, ALAPPUZHA, KERALA",688004,477,"2287485 , 257485",30334,,haseenakhayam@gmail.com,,1991,4/4/2005 0:00,HASEENA A L,2,"m.sc. , b.ed.",10,15,Secondary School,Provisional,1/4/2015,31/3/2020,MUSLIM EDU. SOCEITY
,,,,,,,,,,,,,,,,,,,,,,,
MADHAVA EDUCATION CENTRE CENTRAL SCHOOL,930108,KERALA,ALAPPUZHA,PALLIPAD PO ALAPPUZHA DISTT. KERALA,690512,479,"2406122 ,",413840,080 - 25584780,madhavacentralschool@gmail.com,,1983,5/23/2006 0:00,RADHIKA S,2,"M.A, M.ED, M.PHIL",15,16,Senior Secondary,Provisional,1/4/2014,31/ 3/ 2019,VADHAVA EDU TRUST
,,,,,,,,,,,,,,,,,,,,,,,
MAHAKAVI KUMARANASAN CENTRAL SCHOOL,930724,KERALA,ALAPPUZHA,PALLICKAL NADUVILEMURI PO KAYAMKULAM ALAPUZHA DISTT KERALA,690503,479,"2330233 ,",2762545,,anchayilreghu@gmail.com,,1995,6/2/1997 0:00,K REGHU,1,,,,Senior Secondary,Provisional,1/4/2014,31/ 3/ 2019,SREE NARAYANA GURUDEV EDU & CHARI TRUST
,,,,,,,,,,,,,,,,,,,,,,,
MAR GREGORIOUS MEMORIAL CENTRAL SCHOOL,930653,KERALA,ALAPPUZHA,KARUVATTA PO ALAPUZHA DISTT KERALA,690517,479,"2492918 ,",251113,2215132,mvsaramma54@gmail.com,,1983,6/25/2007 0:00,M V SARAMMA,1,"M.Sc., M.Phil., B.Ed.",33,33,Senior Secondary,Provisional,1/4/2015,31/ 3/ 2020,MGM CHARITABLE SOCIETY
,,,,,,,,,,,,,,,,,,,,,,,
MARIA MONTESSORI CENTRAL SCHOOL,930147,KERALA,ALAPPUZHA,AMBALAPUZHA DIST. ALAPPUZHA KERALA,680561,477,"2273505 , 273105",270870,,sulekha.noopuram@gmail.com,,1992,4/1/2005 0:00,SULEKHA D,1,M.Sc.PGDE,10,30,Senior Secondary,Provisional,1/4/2016,31/ 3/ 2021,ALLEPPEY EDN TRUST
,,,,,,,,,,,,,,,,,,,,,,,
MARUTHAMOUNTAINS ENGLISH MEDIUM SCHOOL PALLANA ENGLISH MEDIUM SCHOOL PALLANA,930866,KERALA,ALAPPUZHA,PALLANA P O THRIKKUNNAPUZHA ALAPPUZHA DIST KERALA,690515,493,"0477 2296220 ,",,,nitheesh.krshn@gmail.com,,1993,6/1/1993 0:00,Mr.K MURALI,1,MA BEd,3,25,Middle Class,Provisional,1/4/2016,31/3/2019,Shree Shanmugha Temple Trust
,,,,,,,,,,,,,,,,,,,,,,,
MATHA SENIOR SECONDARY SCHOOL,930036,KERALA,ALAPPUZHA,THUMPOLY ALLAPPEY NORTH ALAPPUZHA KERALA,688007,477,"2245737 , 261096",2261096,,sooraj_savio@yahoo.com,matha_school@yahoo.com,1979,5/18/2002 0:00,RAJAN JOSEPH K,1,"M.A. MEd. ,MPhil. , M.S.",8,14,Senior Secondary,Provisional,1/4/2013,31/ 3/ 2018,EDUCTIONAL AGENCY CATHOLIC DIOCESE
,,,,,,,,,,,,,,,,,,,,,,,
mathews mar athanasius residential central school,931142,KERALA,ALAPPUZHA,"angadical p.o.,chengannur alappuzha",689122,479,"2165756 ,",,,laluvarghese19@gmail.com,,2006,6/1/2006 0:00,LALU VARGHESE,0,"m.sc., b.ed",3,10,Senior Secondary,Provisional,1/4/2016,31/ 3/ 2019,the trinity mar thoma educational society
,,,,,,,,,,,,,,,,,,,,,,,
MMSKV ENGLISH MEDIUM SCHOOL,931212,KERALA,ALAPPUZHA,PALACHUVADU PULIYOOR P.O CHENGANNUR ALAPPUZHA DIST KERALA STATE,689510,479,"2464602 ,",,,shanthamohan01@gmail.com,,2003,6/4/2003 0:00,K G SANTHAKUMARI,0,M.A. M.Ed,20,38,Secondary School,Provisional,1/4/2018,31/3/2023,Mannam Memorial Educational Charitable Society
,,,,,,,,,,,,,,,,,,,,,,,
MODEL PUBLIC SCHOOL,931012,KERALA,ALAPPUZHA,PALLICKAL P.O.,690503,479,"2133334 ,",,0479 2133334,principalmpskattanam@gmail.com,,2003,6/2/2003 0:00,REJI THOMAS,2,BSc BEd.,8,1,Secondary School,Provisional,1/4/2016,31/3/2021,Scientist K.P. Jones Memorial Educational and Charitable Trust
,,,,,,,,,,,,,,,,,,,,,,,
Nadvathul Islam English School,930821,KERALA,ALAPPUZHA,"Nadvat Nagar P.O. Cherthala, Alappuzha Disctict-Kerala",688559,478,"2874335 ,",4735262181,,principalnies@gmail.com,,1996,6/3/1996 0:00,SHAMEER E S,1,M.A. B.Ed,6,24,Secondary School,Provisional,1/4/2011,31/3/2014,Nadvathul Islma (Regd.) Vaduthala
,,,,,,,,,,,,,,,,,,,,,,,
Panickaveettil Sir Sebastian Public School,930075,KERALA,ALAPPUZHA,vayalar east p.o cherthala alappuzha kerala,688536,478,"2822610 ,",815393,484246431,dianajacobpssps@gmail.com,,1985,7/3/2000 0:00,DIANAJACOB,2,"m a[ eco],m a[hindi],b ed",9,15,Senior Secondary,Provisional,1/4/2014,31/ 3/ 2019,p s s charitable society
,,,,,,,,,,,,,,,,,,,,,,,
"pratheeksha bhavan english medium school,",931062,KERALA,ALAPPUZHA,"muttathiparambu, po cherthala, alappuzha, kerala-688527",688527,478,"2812425 ,",,,sr.sebymary@gmail.com,,2002,6/1/2005 0:00,MINIMOL SEBATIAN,2,"BA, B.ED",20,25,Secondary School,Provisional,1/4/2016,31/3/2021,PRATHEEKSHABHAVAN CHARITABLE TRUST
,,,,,,,,,,,,,,,,,,,,,,,
RAJA RAJESWARI CENTRAL SCHOOL,930712,KERALA,ALAPPUZHA,KODUKULANJI PO CHENGANNOOR ALAPPUZHA DISTT KERALA,689508,479,"2369973 ,",9917609678,138222316,rrseniorsecondaryschool@gmail.com,,2001,1/19/2005 0:00,REMONY AMMA S,2,"MSc,BEd, PG Dip in Comp.",3,13,Senior Secondary,Provisional,1/4/2017,31/ 3/ 2022,RAJU RAJESWARI EDU TRUST
,,,,,,,,,,,,,,,,,,,,,,,
S D V ENGLISH MEDIUM HIGHER SECONDARY SCHOOL,930013,KERALA,ALAPPUZHA,"ALLAPPEY, DISTT ALAPPUZHA, KERALA",688001,477,"2263446 , 244263",9847813079,nil,indu@dutt.com,sdvemhss@yahoo.com,1962,4/1/2005 0:00,INDU DUTT,2,M. Ed.,7,18,Senior Secondary,Provisional,1/4/2018,31/ 3/ 2019,SANATHANA DARMA VIDYASALA TRUST
,,,,,,,,,,,,,,,,,,,,,,,
S N TRUST CENTRAL SCHOOL,930615,KERALA,ALAPPUZHA,KULANGARA HARIPAD ALAPUZHA DISTT KERALA,690513,479,"2413759 ,",,,vinod130372@gmail.com,,2000,6/5/2000 0:00,VINOD S,2,,,,Senior Secondary,Provisional,1/4/2015,31/ 3/ 2020,THE SREENARAYANA TRUST
,,,,,,,,,,,,,,,,,,,,,,,
S S V M RESIDENTIAL CENTRAL SCHOOL,930491,KERALA,ALAPPUZHA,VETTATHUKADAVU MUTHUKULAM SOUTH PO ALAPPUZHA KERALA,690506,479,"2474923 ,",,,principalssvmschool@gmail.com,,2001,6/10/2004 0:00,SAVITHA S,2,,,,Senior Secondary,Provisional,1/4/2015,31/ 3/ 2020,S S V M TRUST
,,,,,,,,,,,,,,,,,,,,,,,
SANTA CRUZ PUBLIC SCHOOL,930678,KERALA,ALAPPUZHA,"ERAMALLOOR PO CHERTHALA, ALAPPUZHA DISTT KERALA",688537,478,"2563948 ,",343893,,joshynv@gmail.com,,1986,6/5/2000 0:00,Dr N V JOSHY,1,,,,Senior Secondary,Provisional,1/4/2017,31/ 3/ 2022,COCHIN DIOCASE PUBLIC INSPECTION TRUST
,,,,,,,,,,,,,,,,,,,,,,,
Snehananda Chaithanya English Medium School,931147,KERALA,ALAPPUZHA,"Volga Junction, Kalavoor, Mannancherry P.O.",688538,,"04772291383 ,",,,scemsvolga@gmail.com,,2005,6/1/2005 0:00,MissLaju G.,0,MA B.Ed.,1,5,Middle Class,Provisional,1/4/2014,31/3/2017,Rudygen Charitable Trust
,,,,,,,,,,,,,,,,,,,,,,,
"SREE BHUVANESWARI ENGLISH MEDIUM HIGH SCHOOL, MANNAR",931131,KERALA,ALAPPUZHA,MANNAR CHENGANNUR,689622,479,"2312443 ,",,,vrmohanachandran@gmail.com,,2006,6/1/2006 0:00,V R MOHANACHANDRAN NAIR,0,"M Sc, Ph.D",10,28,Secondary School,Provisional,1/4/2017,31/3/2022,SREE BHUVANESWARI EDUCATIONAL AND CHARITABLE TRUST
,,,,,,,,,,,,,,,,,,,,,,,
SREE BUDHA CENTRAL SCHOOL,930734,KERALA,ALAPPUZHA,PATTOOR PO NOORANADU ALAPUZHA DISTT KERALA,690529,479,"2375446 , 2375441",2746169,,hilaldivakaran@gmail.com,,2003,7/3/2000 0:00,HILAL D,2,,,,Senior Secondary,Provisional,1/4/2017,31/ 3/ 2022,SREE BUDHA EDUCATIONAL SOCIETY
,,,,,,,,,,,,,,,,,,,,,,,
