Name of Institution,Affiliation Number,State,District,Postal Address,Pincode,Std Code,Office Phone No,Residence Phone No,Fax No,Email,Website,Year of Foundation,Date of First Opening of School,Name of Principal/Head of Institution,Sex,Principals Educational Professional Qualifications,Administrative No of Experience(in Years),Teaching No of Experience(in Years),Status of the School,Type of Affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/Society/Managing Committee
SHRI RANI SARASWATI VIDYA MANDIR,330100,BIHAR,ARARIA,KOSHI COLONEY HAWAI FIELD P B NO 4 FARVISGANJ ARARIA BIHAR,854318,6455,"223077 ,",06455-224469,,go4srsvm@rediffmail.com,,1993,7/1/2005 0:00,AJAY KUMAR MISHRA,1,"M.A., B.ed.",9,9,Senior Secondary,Provisional,1/4/2016,31/ 3/ 2021,SHISHU SHIKSHA PRABANDH SAMITI
,,,,,,,,,,,,,,,,,,,,,,,
"STAR GLOBAL PUBLIC SCHOOL, ARARIA",330727,BIHAR,ARARIA,"STAR GLOBAL PUBLIC SCHOOL ,ARARIA,AT-SHIVPURI,WARD NO.09,ARARIA",854311,6453,"222352 ,",,,kumudsgps@gmail.com,http://starglobalpublicsc.wix.com/sgpsararia,2009,5/14/2009 0:00,KUMUD KUMARI,,"M.A, B.Ed",6,12,Secondary School,Provisional,1/4/2017,31/3/2020,PHUDAN BABU MEMORIAL TRUST
,,,,,,,,,,,,,,,,,,,,,,,
AKSHAR VIDYA GRIHA,330608,BIHAR,AURANGABAD,"VILL+PO- DARDHA, PS- GOH",824203,91,"7260891176 ,",,,aksharvidyagriha4@gmail.com,,2011,4/1/2011 0:00,Suresh Kumar Singh,0,"M.A., B.Ed",10,10,Secondary School,Provisional,1/4/2015,31/3/2018,AKSHAR FOUNDATION TRUST
,,,,,,,,,,,,,,,,,,,,,,,
AMBIKA PUBLIC SCHOOL,330533,BIHAR,AURANGABAD,"KARMA ROAD, NEAR POLICE LINE, AURANGABAD (BIHAR)",824101,91,"9835237352 ,",,,kaushalkumarsingh2014@gmail.com,,2011,4/1/2011 0:00,Uday Narayan Kapoor,0,"M.A., B.ED",5,5,Senior Secondary,Provisional,1/4/2017,31/ 3/ 2019,AMBIKA EDUCATIONAL & WELFARE SOCIETY
,,,,,,,,,,,,,,,,,,,,,,,
B L INDO ANGLIAN PUBLIC SCHOOL,330272,BIHAR,AURANGABAD,"RAMPUR TOLA, BHANHARA AURANGABAD,",824101,6186,"224694 ,",,,idpandeyblindo@gmail.com,,2006,4/1/2006 0:00,ISHWAR DUTT PANDEY,0,"M.A, Phd, B.Ed",10,10,Senior Secondary,Provisional,1/4/2015,31/ 3/ 2020,B L Indo Anglian Educational Trust
,,,,,,,,,,,,,,,,,,,,,,,
BRIGHT LIFE PUBLIC SCHOOL,330605,BIHAR,AURANGABAD,"INGLISH (KIYAKHAP), RAFIGANJ",824125,6327,"222633 ,",,,omprakashpandey28@gmail.com,,2011,4/14/2011 0:00,OM PRAKASH PANDEY,0,"M.A, Phd, B.Ed",12,12,Secondary School,Provisional,1/4/2018,31/3/2023,ABHIMANNU MEMORIAL EDUCATIONAL TRUST
,,,,,,,,,,,,,,,,,,,,,,,
Daksh Public School,330665,BIHAR,AURANGABAD,"Haspura, Aurangabad",824120,6186,"7488585635 ,",,,singhmukeshca@gmail.com,http://www.dakshfoundation.com,2011,9/15/2011 0:00,CBB RADHAKANT,,"M.Sc., B.Ed.",10,15,Secondary School,Provisional,1/4/2016,31/3/2019,DAKSH FOUNDATION
,,,,,,,,,,,,,,,,,,,,,,,
dav public school,330147,BIHAR,AURANGABAD,daud nagar aurangabad bihar,824113,0,"9431483393 ,",332375,,dav_dnr@yahoo.com,,2000,6/5/2000 0:00,SANTAN KUMAR,1,,,,Senior Secondary,Provisional,1/4/2016,31/ 3/ 2019,dav collge trust and mgmt society
,,,,,,,,,,,,,,,,,,,,,,,
dav public school,330034,BIHAR,AURANGABAD,dayanand vihar p.b. no 6 distt. aurangabad bihar,824101,618,"292144 ,",224147,,rsyadav.dgp.1962@gmail.com,,1987,7/3/2000 0:00,Rajendra Singh Yadav,1,"m.a.,m.h.sc.,b.ed.",4,14,Senior Secondary,Provisional,1/4/2014,31/ 3/ 2019,d a v college & managing committee
,,,,,,,,,,,,,,,,,,,,,,,
"DAV Public School, Nabinagar",330256,BIHAR,AURANGABAD,At + Po - Nabinagar Dist - Nabinagar,824301,6332,"227189 ,",,06332 227189,drrkdubey2001@gmail.com,,2002,4/4/2002 0:00,DR R K DUBEY,0,"M.A., B.Ed.",8,18,Senior Secondary,Provisional,1/4/2016,31/ 3/ 2019,DAV COLLEGE TRUST & MANAGEMENT SOCIETY
,,,,,,,,,,,,,,,,,,,,,,,
"DAV PUBLIC SCHOOL, RAFIGANJ",330802,BIHAR,AURANGABAD,"DAV PUBLIC SCHOOL, RAFIGANJ, NEEMA MORE KASMA ROAD",824125,,"09199037606 ,",,,davrafiganj2013@gmail.com,,2012,4/1/2012 0:00,MR. BIDHU SHEKHAR PANDEY,1,M.Sc. B.Ed.,3,20,Secondary School,Provisional,1/4/2018,31/3/2021,Dayanand Anglo-Vedic College Trust & Management Society
,,,,,,,,,,,,,,,,,,,,,,,
JAWAHAR NAVODAYA VIDYALAYA,340007,BIHAR,AURANGABAD,BARUN DISTT AURANGABAD BIHAR,824112,6186,"244111 ,",4128,,pksjnp@gmail.com,,1987,3/31/2011 0:00,PRADEEP KUMAR SINGH,1,,,,Senior Secondary,Provisional,1/4/2010,31/ 3/ 2015,NAVODAYA VIDYALAYA SAMITI
,,,,,,,,,,,,,,,,,,,,,,,
kendriya vidyalaya,300049,BIHAR,AURANGABAD,"vill. babhandi, po. jogia, aurangabad, bihar",824101,6186,"292004 ,",7766083322,,anoop.shukla@rediffmail.com,,1987,4/1/1991 0:00,ANOOP SHUKLA,1,,,,Secondary School,Provisional,1/4/2016,31/3/2021,Kendriya Vidyalaya Sangathan
,,,,,,,,,,,,,,,,,,,,,,,
LAXMI PUBLIC SCHOOL,330795,BIHAR,AURANGABAD,LAXMI VIHAR BEL ROAD OBRA DISTT-AURANGABAD BIHAR 824124,824124,0,"9939132132 ,",,,lpsobra@gmail.com,http://www.laxmipublicschool.in,2014,4/1/2014 0:00,Mr.ABHISHEK KUMAR,0,B.TECH.,5,4,Secondary School,Provisional,1/4/2018,31/3/2021,LAXMI DEVI EDUCATIONAL TRUST
,,,,,,,,,,,,,,,,,,,,,,,
ld buddha public school,330218,BIHAR,AURANGABAD,buddh vihar jasoiya me aurangabad (bihar),824101,6186,"292235 ,",9431132086,,ujjwalsinha1964@gmail.com,www.ib[saurangabad.com,2004,1/5/2004 0:00,UJJWAL RATAN SINHA,2,msc (b.ed),15,25,Senior Secondary,Provisional,1/4/2014,31/ 3/ 2019,l.b.ed.d. foundation
,,,,,,,,,,,,,,,,,,,,,,,
MAHESH ACADEMY,330228,BIHAR,AURANGABAD,M.G.ROAD,824101,6186,"292121 ,",9219663332,6186223224,PRINCIPAL@MAHESHACADEMY.COM,,1998,5/1/1998 0:00,MEERA SINGH,1,18,12,6,Senior Secondary,Provisional,1/4/2014,31/ 3/ 2019,JAGRAJ EDUCATIONAL TRUST
,,,,,,,,,,,,,,,,,,,,,,,
SANSKAR VIDYA,330622,BIHAR,AURANGABAD,"knowledge city ,leela chak,navratan chak,daudnagar,aurangabad,bihar,pin 824143",824143,632,"8228741 ,",,,sagar6161@gmail.com,,2009,4/6/2009 0:00,MADAN KUMAR,1,"M.A,B.Ed",18,20,Senior Secondary,Provisional,1/4/2017,31/ 3/ 2020,S.M.EDUCATIONAL AND SOCIAL DEVELOPMENT TRUST
,,,,,,,,,,,,,,,,,,,,,,,
SARASWATI SHISHU MANDIR,330074,BIHAR,AURANGABAD,RASHTRIYA UCHCHA PATH AURANGABAD BIHAR,824101,6186,"292146 ,",9570337317,,principalabad@yahoomail.com,www.ssmaurangabad.com,1977,7/1/2005 0:00,SANJAY KUMAR SINGH,1,"M.Sc.,Ph.D.,B.Ed.",7,10,Secondary School,Provisional,1/4/2018,31/3/2019,SHASHI SHIKSHA PARBANDH SAMITI BIHA
,,,,,,,,,,,,,,,,,,,,,,,
ST. IGNATIUS SCHOOLS,330081,BIHAR,AURANGABAD,GAYATRIPATH NEAR BYE PASS CHOWK AURANGABAD BIHAR,824101,618,"09431650016 ,",9973791551,,principalig@rediffmail.com,,1994,7/1/2009 0:00,Richard Dsouza,1,M.ED,9,9,Senior Secondary,Provisional,1/4/2014,31/ 3/ 2019,SAMPURNA VIKAS SAMITI
,,,,,,,,,,,,,,,,,,,,,,,
VIVEKANAND MISSION SCHOOL,330154,BIHAR,AURANGABAD,BILEY VIHAR DAUD NAGAR DISTT AURANGABAD BIHAR,824113,6328,"7033826668 ,",2339294,2236573,info@vivekanandmissionschool.org,http://www.mgps.in,2007,8/12/2007 0:00,ABHISHEK KUMAR,1,"M.A., B.Ed.",21,5,Senior Secondary,Provisional,1/4/2017,31/ 3/ 2022,VIVEKANAND SEWA MISSION FOUNDATION
,,,,,,,,,,,,,,,,,,,,,,,
Vivekanand Vision Ideal Public School,330425,BIHAR,AURANGABAD,"Bignanikanagar,yari,deo-anandpura road ,aurangabad",824101,6186,"7033826665 ,",,,vvipf97@gmail.com,,2007,4/2/2007 0:00,NARENDRA KUMAR SINGH,0,MSc.,10,15,Senior Secondary,Provisional,1/4/2017,31/ 3/ 2022,Vivekanand Vision Integrated Peoples Foundation
,,,,,,,,,,,,,,,,,,,,,,,
ADWAITA MISSION HIGH SCHOOL,330073,BIHAR,BANKA,MANDAR VIDYAPITH PO MANDAR VIDYAPITH DISTT. BANKA BIHAR,813104,0,"9801820820 , 266558",2222699,,mohandasanrk@gmail.com,,1990,7/1/2005 0:00,MOHANDASAN R K,1,"M.Sc.,Ph.D.,B.Ed.",7,10,Senior Secondary,Provisional,1/4/2015,31/ 3/ 2020,MANDIR VIDYAPITH
,,,,,,,,,,,,,,,,,,,,,,,
ADWAITA MISSION HIGH SCHOOL,330344,BIHAR,BANKA,"At.Shivdham,P.O.Maniyarpur Bounsi Banka BIhar",813104,0,"9771459021 ,",2263718,06424-291210,amhsshivdham365@gmail.com,,2001,4/2/2001 0:00,Rajiv Kumar Thakur,1,"M.A.,B.Ed.",5,8,Senior Secondary,Provisional,1/4/2016,31/ 3/ 2019,Mandar Vidyapith Educational Foundation Trust
,,,,,,,,,,,,,,,,,,,,,,,
B.D. ACADEMY,330434,BIHAR,BANKA,"At - Khemichak, P.O. - Bishwambharchak, P.S. - Amarpur, Banka",813101,642,"222175 ,",,6420223175,s.gunjan@rediffmail.com,,2007,4/11/2007 0:00,Saurabh Gunjan,1,"M.Sc., M.B.A., B.Ed.",5,10,Senior Secondary,Provisional,1/4/2015,31/ 3/ 2018,SRM Educational Trust
,,,,,,,,,,,,,,,,,,,,,,,
JAWAHAR NAVODAYA VIDYALAYA,340006,BIHAR,BANKA,SHAKTI NAGAR CHANDAN DAM PO LAXMIPUR DISTT BANKA BIHAR,813102,6424,"207555 ,",77744,,jnvsbanka@gmail.com,,1987,3/31/2011 0:00,SURESH CHAND,1,,,,Senior Secondary,Provisional,1/4/2013,31/ 3/ 2016,NAVODAYA VIDYALAYA SAMITI
,,,,,,,,,,,,,,,,,,,,,,,
KENDRIYA VIDYALAYA,300038,BIHAR,BANKA,PBS COLLEGE CAMPUS POST & DISTT BANKA BIHAR,813102,642,"4231751 ,",230366,,rajivkvs1960@gmail.com,http://www.kvmashrak.g,1994,1/25/2009 0:00,RAJIV RANJAN,1,"m.sc, b.ed",2,9,Secondary School,Provisional,1/4/2007,31/3/2011,kendriya vidyalaya sangathan
,,,,,,,,,,,,,,,,,,,,,,,
S K M PUBLIC SCHOOL,330603,BIHAR,BANKA,"Dadhi Pakaria, Shambhuganj Banka",813211,0,"9955932207 ,",,0,skmpakaria@gmail.com,http://www.skmps.org,2012,4/2/2012 0:00,MR. VIVEKANAND PANDEY,1,M.Sc. B.Ed.,3,8,Senior Secondary,Provisional,1/4/2018,31/ 3/ 2021,Gautam Social and Educational Trust
,,,,,,,,,,,,,,,,,,,,,,,
S.B.P. VIDYA VIHAR,330549,BIHAR,BANKA,"GURUDHAM, P.S.+P.O.-BOUNSI - 813104, DIST.-BANKA (BIHAR)",813104,6424,"206900 ,",,6412620478,sbpvv@yahoo.com,http://www.sbpvvbounsi.com,2012,4/2/2012 0:00,BARUN KUMAR JHA,0,"M.Sc., B.Ed",8,12,Senior Secondary,Provisional,1/4/2016,31/ 3/ 2019,B.P. CHARITABLE TRUST
,,,,,,,,,,,,,,,,,,,,,,,
SHREE KHUBLAL PRAMILA VIDYA VIHAR,330036,BIHAR,BANKA,RAJPUR P.O.MAKHADUMA DISTT. BANKA BHAGALPUR BIHAR,813102,6424,"222285 ,",,,principalskpvidyavihar@rediffmail.com,www.skpbanka.com,1989,7/1/2006 0:00,Manas Kumar Pathak,1,M. A. B. ED.,7,16,Senior Secondary,Provisional,1/4/2018,31/ 3/ 2023,SH KHUBLAL PRAMILA CHARITABLE TRUST
,,,,,,,,,,,,,,,,,,,,,,,
B.P.S PUBLIC SCHOOL,330642,BIHAR,BEGUSARAI,AT & P.O NAOKOTHI,851130,91,"8409413943 ,",,6122582618,arvaindanshu11@gmail.com,,2009,4/17/2009 0:00,ARVIND KUMAR,,"M.A, B.Ed",2,20,Secondary School,Provisional,1/4/2016,31/3/2019,R.D.E.C FOUNDATION
,,,,,,,,,,,,,,,,,,,,,,,
B.R.D.A.V PUBLIC SCHOOL,330062,BIHAR,BEGUSARAI,P O REFINERY TOWNSHIP BEGUSARAI BIHAR,851117,6243,"274250 ,",26281870,0161-2459970,anjali_hwb@yahoo.com,http://wwxyz.com,1997,4/1/1987 0:00,ANJALI,2,M.A. English B.Ed.,5,11,Senior Secondary,Provisional,1/4/2018,31/ 3/ 2019,D A V COLLEGE TRUST&MANAGEMENT SOC
,,,,,,,,,,,,,,,,,,,,,,,
CD FORT PUBLIC SCHOOL,330628,BIHAR,BEGUSARAI,"AT - NARAYANPUR, P.O. - DAULATPUR, P.S. - KHODAWANDPUR, DIST. - BEGUSARAI",848210,0,"0000 ,",,,principalcdfps@gmail.com,,2011,4/15/2011 0:00,SUNIL KUMAR DUTTA,0,"M.A., B.ED.",8,15,Secondary School,Provisional,1/4/2015,31/3/2018,CHAND MEMORIAL EDUCATIONAL TRUST
,,,,,,,,,,,,,,,,,,,,,,,
D A V PUBLIC SCHOOL,330006,BIHAR,BEGUSARAI,URVARAK NAGAR BARAUNI BEGUSARAI BIHAR,851115,6243,"265030 ,",6243265287,6243264584,davpshfc@gmail.com,,1983,7/1/2005 0:00,MUKESH KUMAR,1,MSC. B.ED,10,23,Senior Secondary,Provisional,1/4/2013,31/ 3/ 2018,DAV COLL NAGING COMMITTEE N DELHI
,,,,,,,,,,,,,,,,,,,,,,,
DAV PUBLIC SCHOOL,330096,BIHAR,BEGUSARAI,BEGUSARAI HARRAKH KOTHI ETWA NAGAR NEAR BMP CAMPUS PO DUMRI DISTT BEGUSARAI BIHAR,851101,6243,"249940 ,",242379,,davpublicschoolbgs@gmail.com,,1993,7/1/2005 0:00,V ANAND KUMAR,1,,,,Senior Secondary,Provisional,1/4/2013,31/ 3/ 2018,DAV COLLEGE TRUST & MGMT COMMITTEE
,,,,,,,,,,,,,,,,,,,,,,,
DELHI PUBLIC SECONDARY SCHOOL,330252,BIHAR,BEGUSARAI,NH-31 MAHMADPUR P.O M BANDUAR DIST- BEGUSARAI,851129,6243,"221332 ,",282222,06243-211332,shabnamfirdosi@gmail.com,www.dpssbegusarai.com,2004,4/1/2004 0:00,SHABNAM FIRDOSI,2,M.A B-ED,10,12,Senior Secondary,Provisional,1/4/2015,31/ 3/ 2020,delhi public school trust
,,,,,,,,,,,,,,,,,,,,,,,
DON BOSCO ACADEMY,330612,BIHAR,BEGUSARAI,CHERIYABARIYARPUR BEGUSARAI BIHAR,851132,6243,"241624 ,",,,nitukri15bgs@gmail.com,,2011,3/15/2011 0:00,NITU KUMARI,0,"M.Sc. , B.Ed.",5,5,Secondary School,Provisional,1/4/2018,31/3/2023,RAMDHARI SINGH DINKAR MEMORIAL TRUST
,,,,,,,,,,,,,,,,,,,,,,,
DOON PUBLIC SCHOOL,330514,BIHAR,BEGUSARAI,"DHABOLLI, RAMZANPUR, BEGUSARAI, BIHAR",851129,624,"259211 ,",,,sumanthikkara@gmail.com,http://www.doonpublicschoolbegusarai.com,2013,4/2/2013 0:00,SUMAN,0,"M.A, M.Ed.",12,29,Senior Secondary,Provisional,1/4/2016,31/ 3/ 2019,RAM KRISHNA MEMORIAL EDUCATIONAL & CHARITABLE TRUST
,,,,,,,,,,,,,,,,,,,,,,,
e.c. railway inter college,380007,BIHAR,BEGUSARAI,"garhara p.o . garhara.p.s. barauni, begusarai ,bihar",790115,4672,"208666 ,",234261,,,,1971,4/1/1991 0:00,.,0,,,,Senior Secondary,Provisional,1/4/2018,31/ 3/ 2020,d p i
,,,,,,,,,,,,,,,,,,,,,,,
GANGA GLOBAL SCHOOL,330610,BIHAR,BEGUSARAI,NATIONAL HIGHWAY 31 NEAR GANGA DAIRY LTD RAMZANPUR BEGUSARAI,851129,6243,"259704 ,",,06243-259113,gangaglobalschool@gmail.com,http://www.gangaglobalschool.com,2012,6/18/2012 0:00,Anil Kumar Singh,0,"M.SC., M.ED",5,10,Senior Secondary,Provisional,1/4/2018,31/ 3/ 2020,BRAJESH KUMAR FOUNDATION
,,,,,,,,,,,,,,,,,,,,,,,
jawahar navodaya vidyalaya,340015,BIHAR,BEGUSARAI,bisanpur begusarai bihar,851101,6243,"223032 ,",22543,,aksjnv1991@gmail.com,,1987,3/31/2011 0:00,AJIT KUMAR SINGH,1,,,,Senior Secondary,Provisional,1/4/2014,31/ 3/ 2019,navodaya vidyalaya samiti
,,,,,,,,,,,,,,,,,,,,,,,
KENDRIYA VIDYALAYA,300005,BIHAR,BEGUSARAI,H F C P O URVARAK NAGAR BARAUNI DISTT.BEGUSARAI BIHAR,851115,6243,"264582 ,",,,hbsingh72@rediffmail.com,,1973,,H B SINGH,0,,,,Senior Secondary,Provisional,1/4/2010,31/ 3/ 2013,KENDRIYA VIDYALAYA SANGATHAN
,,,,,,,,,,,,,,,,,,,,,,,
KENDRIYA VIDYALAYA,300027,BIHAR,BEGUSARAI,GARHARA BEGUSARAI BIHAR,851126,6279,"231242 ,",6122295595,,vkmishrapgt@gmail.com,http://www.kvbaileyroadpa,1988,1/25/2009 0:00,VINOD KUMAR MISHRA,1,"m.sc.physics, m.ed.",4,15,Senior Secondary,Provisional,1/4/2009,31/ 3/ 2014,KENDRIYA VIDYALAYA SANGATHAN
,,,,,,,,,,,,,,,,,,,,,,,
KENDRIYA VIDYALAYA NO 2,300014,BIHAR,BEGUSARAI,I O C BARAUNI REFINERY TOWNSHIP BEGUSARAI DISTT BIHAR,851117,6243,"242730 ,",2319558,,shieokumarsinghkvioc2016@gmail.com,http://kvsingharsi.g.in,1977,7/2/1983 0:00,S K SINGH,1,,,,Senior Secondary,Provisional,1/4/2012,31/ 3/ 2020,KENDRIYA VIDYALAYA SANGATHAN
,,,,,,,,,,,,,,,,,,,,,,,
MOTHERS PRIDE INTERNATIONAL SENIOR SECONDARY ANGLO PUBLIC SCHOOL,330543,BIHAR,BEGUSARAI,"PS- MUFFASIL, HARDIA, BEGUSARAI, BIHAR",851101,6243,"255212 ,",,6243242702,motherpridebgs@gmail.com,,2012,4/1/2012 0:00,MOLLY SINGH,1,MSC. BED PHD,5,13,Secondary School,Provisional,1/4/2014,31/3/2017,RAM KISHORI RAM SUNDAR MEMORIAL TRUST
,,,,,,,,,,,,,,,,,,,,,,,
MOUNT LITERA PUBLIC SCHOOL,330572,BIHAR,BEGUSARAI,"AT + PO : ULAO, BEGUSARAI,",851134,6243,"245711 ,",,06243-245711,principal.begusarai@mountlitera.com,http://www.zeelearn.com,2011,4/1/2011 0:00,SHEETAL,0,"M.A , B.Ed",3,10,Secondary School,Provisional,1/4/2017,31/3/2022,RAJA CHANDRACHUR DEVA EDUCATIONAL TRUST
,,,,,,,,,,,,,,,,,,,,,,,
RAMKRISHNA CHILDRENS ACADEMY,330618,BIHAR,BEGUSARAI,"AT - CHITRAGUPTA NAGAR, POKHARIA, PO & DIST - BEGUSARAI",851101,6243,"223090 ,",,,mukeshkrrca@gmail.com,,2010,4/4/2010 0:00,RANDHIR KUMAR,1,"M.A., B.ED.",5,7,Secondary School,Provisional,1/4/2018,31/3/2023,SUNAINA DEVI MEMORIAL EDUCATIONAL CHARITABLE FOUNDATION
,,,,,,,,,,,,,,,,,,,,,,,
River Valley School,330251,BIHAR,BEGUSARAI,"Anand Vihar, Instituional Area, Near Bazar Samiti, Begusarai",851218,6243,"231322 ,",,06243 231322,ramn1654@gmail.com,,2008,4/2/2008 0:00,VEENA KUMARI,0,"M. Sc.(Bot), B. Ed",2,9,Senior Secondary,Provisional,1/4/2015,31/ 3/ 2020,River valley Foundation
,,,,,,,,,,,,,,,,,,,,,,,
ST. JOSEPH PUBLIC SCHOOL,330225,BIHAR,BEGUSARAI,"KALI NAGAR, BEHIND G.D. COLLEGE, BEGUSARAI",851101,91,"8404900550 ,",2593126,,st.josephpublicschoolbegusarai@gmail.com,,2001,4/1/2001 0:00,RAKHI GANGULY,2,"M.SC.,M.ED",10,15,Senior Secondary,Provisional,1/4/2014,31/ 3/ 2019,CATHOLIC DIOCASE OF INDORE
,,,,,,,,,,,,,,,,,,,,,,,
st. paul sr. secondary school,330342,BIHAR,BEGUSARAI,at: bahdarpur po: rampur matihani distt: begusarai,851129,6243,"259032 ,",,,spsssbahdarpur@gmail.com,http://www.spsssbahdarpur.com,2003,1/1/2003 0:00,LAKSHMAN PRASAD,0,"m.a.,b.ed.",11,,Senior Secondary,Provisional,1/4/2017,31/ 3/ 2022,parmeshwar neeta educational trust
,,,,,,,,,,,,,,,,,,,,,,,
ST.JOSEPH ACADEMY,330733,BIHAR,BEGUSARAI,"AT+P.O- RAGHUNANDANPUR,VIA-TEGHRA,DISTT-BEGUSARAI,851133",851133,91,"8676919855 ,",,,principal@stjosephteghra.org,http://www.stjosephteghra.org,2010,4/1/2010 0:00,NITA BHATTACHARYA,,"M.A, B.Ed.",5,12,Secondary School,Provisional,1/4/2017,31/3/2020,BRAHMDEV MEMORIAL EDUCATIONAL CHARITABLE TRUST
,,,,,,,,,,,,,,,,,,,,,,,
