Name of Institution,Affiliation Number,State,District,Postal Address,Pincode,Std Code,Office Phone No,Residence Phone No,Fax No,Email,Website,Year of Foundation,Date of First Opening of School,Name of Principal/Head of Institution,Sex,Principals Educational Professional Qualifications,Administrative No of Experience(in Years),Teaching No of Experience(in Years),Status of the School,Type of Affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/Society/Managing Committee
THE INDIAN COMMUNITY SCHOOL,5530001,FOREIGN SCHOOLS,ETHIOPIA,P O BOX NO 5412 ADDIS ABABA ETHIOPIA C/O FIRST SECY EMBASSY OF INDIA ADDIS ABABA ETHIOPIA,,00973,"152039 ,",117123,552521,principal@nmsedu.bh,http://www.nms.edu.bh,1976,6/1/2002 12:00:00 AM,MURALIDHARAN NAIR,1,"m.sc physics, b.ed",7,18,Senior Secondary,Provisional,1/4/1994,31/ 3/ 1997,BOARD OF GOVERNORS RUN BY INDEMBASS
"DELHI PUBLIC SCHOOL, TEMA , GHANA",8030001,FOREIGN SCHOOLS,ghana,P.O.BOX No. 853 COMMUNITY 1 TEMA GHANA,817088,,"00233 0544353199 ,",,,dpsghana@yahoo.com,,2010,9/23/2010 12:00:00 AM,Mr.PS CHANDRASHEKHARA,1,MSc Ed,17,10,Secondary School,Provisional,1/4/2015,31/3/2020,B5 Plus Limited
TEXMACO DPS INTERNATIONAL SCHOOL,7230001,FOREIGN SCHOOLS,INDONESIA,DESA KIARA PAYUNG KEC KLARI KARAWANG TIMUR 41300 INDONESIA,,0062,"267432105 ,",436766,,bhatnagaranjali22@gmail.com,www.dpsindo.net,1989,7/9/2003 12:00:00 AM,Anjali Bhatnagar,1,"M.Sc.,M.Ed.,",,22,Senior Secondary,Provisional,1/4/2018,31/ 3/ 2019,THE ASIAN EDUCATIONAL DEV. TRUST
Kendriya Vidyalaya,5600001,FOREIGN SCHOOLS,IRAN,"C/O Embassy of India, tehran, Saadi ave,Qayedi(hedayat) ave, Noor mohammadi ave, darvish street no.24, Tehran",248005,00982,"7765033 ,",7531183,77520242,kishe.jj@hotmail.com,,2007,6/1/2007 12:00:00 AM,JUGAL KISHE,1,,,,Senior Secondary,Provisional,1/4/2018,31/ 3/ 2020,kendriya vidyalaya sangathan
GLOBAL INDIAN INTERNATIONAL SCHOOL,7530002,FOREIGN SCHOOLS,JAPAN,MINAMI SHINOZAKI CHO 3-20-6 EDOGANA KU TOKYO JAPAN 1330065,,81,"356967141 ,",,07530 220478,principal.tokyo@globalindianschool.org,,2000,7/1/2000 12:00:00 AM,RAJESWARY SAMBATHRAJAN,1,"M.A.,M.Ed.",12,25,Senior Secondary,Provisional,1/4/2015,31/ 3/ 2020,GLOBAL INDIAN EDUCATION FOUNDATION
INDIAN INTERNATIONAL SCHOOL,7530001,FOREIGN SCHOOLS,JAPAN,AMICA BLDG 1-5-4 MORISHETA KOTO KU TOKYO JAPAN-1350004,135000,813,"58755435 ,",,,work.principal@iisj.com,,1984,,Arul Jothi,2,,,,Senior Secondary,Provisional,1/4/2016,31/ 3/ 2021,INDIA INTERNATIONAL SCHOOL IN JAPAN COMMITTEE
INDIAN PUBLIC SCHOOL,8130001,FOREIGN SCHOOLS,Kenya,MUTATI ROAD BEHIND DIAMOND PLAZA NEAR PATANJALI THIRD PARKLANDS -HIGHRIDGE- NAIROBI-KENYA,000000,,"(254)738450555 ,",,,ipsnairobi@gmail.com,http://www.ipsnairobi.com,2016,9/1/2016 12:00:00 AM,MRS. PINKY KAUL,1,BA(Political Sc.)+Teacher Service Commission,19,23,Secondary School,Provisional,1/4/2018,31/3/2021,INDIAN PUBLIC SCHOOL LIMITED
AL RASHID INDIAN SCHOOL,5930011,FOREIGN SCHOOLS,KUWAIT,P O BOX NO 41090 JALEEB AL SHOUYOKH KUWAIT,085854,011,"4347722 ,",25035546,404052,ganeshha@batelco.com.bh,,1997,4/1/2005 12:00:00 AM,BALBIR KAUR SEN,2,"M.A.,M.Ed.",6,8,Secondary School,Provisional,1/4/2007,31/3/2012,MR OTHMAN ABDULLA AL RASHID
AL-AMAL INDIAN SCHOOL,5930010,FOREIGN SCHOOLS,KUWAIT,PO BOX 5213 SALMIYA 22062 KUWAIT,,965,"94007514 ,",250728,,baldwinfaife@yahoo.com,,1974,4/4/2006 12:00:00 AM,BALDWIN FAIFE,2,MA ENG. M ED,22,12,Senior Secondary,Provisional,1/4/2018,31/ 3/ 2023,sanskar bharti trust
CARMEL SCHOOL,5930003,FOREIGN SCHOOLS,KUWAIT,P.O.BOX 596 13006 SAFAT KUWAIT (ARABIA),,965,"24727383 ,",5626219,5646516,sr_violette@yahoo.co.in,http://www.davnit.com,1969,4/2/2007 12:00:00 AM,SR BENEDICTA SEVERINA PINTO,2,MA,10,10,Senior Secondary,Provisional,1/4/2012,31/ 3/ 2017,THE APOSTOLIC CARMEL SOCIETY
FAHAHEEL AL-WATANIEH INDIAN PRIVATE SCHOOL,5930007,FOREIGN SCHOOLS,KUWAIT,PO BOX 9951 CODE 61010 AHMADI KUWAIT,,0965,"23982706 , 3986147",5627275,3985361,anjudheman@gmail.com,,1995,7/1/2003 12:00:00 AM,ANJU DHEMAN,1,,,,Senior Secondary,Provisional,1/4/2017,31/ 3/ 2022,SRI SATHYA SAI TRUST M P INDORE
GULF INDIAN SCHOOL,5930006,FOREIGN SCHOOLS,KUWAIT,PO BOX 7879 FAHAHEEL 64009 KUWAIT,,965,"23918210 , 3918210",3713756,3918214,cndivakaran@hotmail.com,http://www.swamigurukul.com,1993,6/22/2006 12:00:00 AM,SHYAMALA DIVAKARAN,2,"M.Com, B.Ed",1,5,Senior Secondary,Provisional,1/4/2017,31/ 3/ 2022,the apostolic carmel society
INDIA INTERNATIONAL SCHOOL,5930013,FOREIGN SCHOOLS,KUWAIT,MANGAF PO Box 7721 FAHAHEEL KUWAIT 64013,,965,"23728702 ,",66214362,23728724,fmbasheer@gmail.com,,2002,4/3/1998 12:00:00 AM,FM BASHEER AHMED,1,M.A. M.Ed.,12,27,Senior Secondary,Provisional,1/4/2014,31/ 3/ 2019,DR P A ABRAHIMI CHAIRMAN OF SCH
INDIAN CENTRAL SCHOOL,5930008,FOREIGN SCHOOLS,KUWAIT,PO BOX 54117 CODE NO 82858 JALEEB AL SHYOUKH KUWAIT,,965,"24330244 , 4315260",4317972,4316748,marianancydgl@yahoo.com,http://www.icskwt.com,1986,7/9/2003 12:00:00 AM,Dr Shantha Maria James,2,"M. A., M. Phil., B. Ed.",17,5,Senior Secondary,Provisional,1/4/2013,31/ 3/ 2018,"Anant Charitable Trust, Kurukshetra"
INDIAN EDUCATION SCHOOL,5930015,FOREIGN SCHOOLS,KUWAIT,"JLEEB AL SHYOUKH , SCHOOL STREET, PO 417, POSTAL CODE 86353, ABDULLA AL MUBARAK, KUWAIT",,965,"24340882 ,",24340882,,principal@bhavanskuwait.com,,2006,4/9/2006 12:00:00 AM,T PREMKUMAR,1,"M.Sc, Ed RCEM",16,30,Senior Secondary,Provisional,1/4/2017,31/ 3/ 2022,BHARATIYA VIDYABHAVAN KENDRA
INDIAN ENGLISH ACADEMY SCHOOL,5930012,FOREIGN SCHOOLS,KUWAIT,PO BOX 2150 SALMIYA KUWAIT,,0965,"25612405 , 56124320",5654078,,leobragy@yahoo.co.in,,2002,5/21/2007 12:00:00 AM,LIONEL BRAGANZA SDB,1,,,,Senior Secondary,Provisional,1/4/2014,31/ 3/ 2019,BOMBAY SALESIAN SOCIETY
"INDIAN LEARNERS OWN ACADEMY,KUWAIT",5930017,FOREIGN SCHOOLS,KUWAIT,"P.O.BOX:41982,CODE 85860,JLEEB AL SHYOUKH, KUWAIT",122588,965,"24337140 ,",,00965 24346068,sharma.asha@hotmail.com,http://www.loakuwait.com,2010,9/1/2010 12:00:00 AM,ASHA SHARMA,0,"M.A. HISTORY, M.A. POL.SC. B.ED, PTC GRADUATE (US)",28,34,Senior Secondary,Provisional,1/4/2017,31/ 3/ 2022,INDIAN LEARNERS OWN ACADEMY MANGING COMMITTEE
INDIAN PUBLIC SCHOOL,5930009,FOREIGN SCHOOLS,KUWAIT,P O BOX 1589 HAWALLI 32016 KUWAIT,,965,"25630249 , 5630249",009655613708,5637360,kenrod1959@gmail.com,,1971,4/2/1980 12:00:00 AM,KENNETH ALEXANDER RODRIGUES,1,MA B Ed M Phil,11,23,Senior Secondary,Provisional,1/4/2013,31/ 3/ 2018,SANSKAR BHARTI TRUST
INTEGRATED INDIAN SCHOOL,5930014,FOREIGN SCHOOLS,KUWAIT,PO BOX 23244 JLEEB AL SHUYOUKH KUWAIT,,965,"24315968 ,",4315783,23728724,aruldharma@yahoo.com,,2004,4/3/1998 12:00:00 AM,ARUL DHARMARAJ THOMAS,1,m.a. m.ed.,12,27,Senior Secondary,Provisional,1/4/2010,31/ 3/ 2015,AS EDUCATIONAL PVT LTD
JABRIYA INDIAN SCHOOL,5930005,FOREIGN SCHOOLS,KUWAIT,PO BOX 66855 BAYAN JABRIYA CODE 437590 KUWAIT,,965,"25340836 , 5340837",5342596,5342039,achuthan_madhav@yahoo.com,,1993,7/9/2003 12:00:00 AM,ACHUTHAN MADHAV,2,MA,10,2,Senior Secondary,Provisional,1/4/2018,31/ 3/ 2020,the apostolic carmel society
Kuwait Indian School,5930016,FOREIGN SCHOOLS,KUWAIT,"P.O.Box-26211 KUWAIT CITY, SAFAT,",130123,0965,"24346399 ,",,965 4724737,bmuk72@gmail.com,,1985,11/14/1985 12:00:00 AM,Mrs. Sabahat Khan,0,,,,Senior Secondary,Provisional,1/4/2018,31/ 3/ 2020,kuwait indian
SALMIYA INDIAN MODEL SCHOOL,5930018,FOREIGN SCHOOLS,KUWAIT,"Al Mughera Bin Shuba Street, Block 12, PO Box 8557, Salmiya 22056",,0965,"25616838 ,",,00965 25616828,sims.kuwait@gmail.com,http://www.simskuwait.com,2012,4/1/2012 12:00:00 AM,ELIZABETH JOSEPH,1,"M.Sc, PG Dip in Space Sc, B.Ed",03,20,Senior Secondary,Provisional,1/4/2017,31/ 3/ 2022,Paradigm Pioneers Global Trust
SMART INDIAN SCHOOL,5930019,FOREIGN SCHOOLS,KUWAIT,Post Box 417,086355,,"0096566661663 ,",,,principal@bhavanssmartkuwait.com,http://www.bhavanssmartkuwait.com,2016,10/6/2016 12:00:00 AM,MR.MAHESH IYER,1,"M.Sc, B.Ed, M.Phil",9,25,Secondary School,Provisional,1/4/2018,31/3/2021,NA
THE INDIAN COMMUNITY SCHOOL,5930001,FOREIGN SCHOOLS,KUWAIT,P O Box 5901 SAFAT 13060 KUWAIT C/O FIRST SECY EMBASSY OF INDIA KUWAIT (ARABIA),,965,"25629583 , 5613344",0096525614469,25652308,vbinumon@gmail.com,,1959,6/1/2004 12:00:00 AM,BINUMON VASUDEV,2,M.A B.Ed,12,27,Senior Secondary,Provisional,1/5/1969,31/ 3/ 2019,HIND AHMED HAMID AL NAQUEEB
THE NEW INDIAN SCHOOL,5930002,FOREIGN SCHOOLS,KUWAIT,(JABRIYA) PO BOX 43888 HAWALLY 32053 KUWAIT (ARABIA),570006,,"5318158 , 5318161",,,,,1976,6/12/1992 12:00:00 AM,DR GERALEL RODRICKS,1,,,,Senior Secondary,Provisional,1/5/1980,31/ 3/ 2019,BOARD OF TRUSTEES NEW INDIAN SCHOOL
UNITED INDIAN SCHOOL,5930004,FOREIGN SCHOOLS,KUWAIT,ABBASIYA P O BOX 1589 HAWALLI 32016 KUWAIT,,0965,"24310510 ,",2384172,4331461,SUJAMAVILA@YAHOO.CO.IN,http://www.nitte.ac.in,1985,7/3/2000 12:00:00 AM,SUJATA SIVAKRISHNAN,2,"B.Sc, B.Ed, M.Ed,M.A",12,36,Senior Secondary,Provisional,1/4/2017,31/ 3/ 2022,the apostolic carmel society
INDIAN COMMUNITY SCHOOL,7930001,FOREIGN SCHOOLS,LIBERIA,P O BOX 516 MAMBA POINT MONROVIA LIBERIA C/O FIRST SECY HIGH COMM OF INDIA LIBERIA,,,"224551 ,",224551,,,,1985,,P K G PILLAI,1,,,,Secondary School,Provisional,1/5/1988,30/4/1991,SCHOOL MANAGMENT COMMITTEE
INDIAN COMMUNITY SCHOOL,6030001,FOREIGN SCHOOLS,LIBYA,PO BOX 14266 TRIPOLI (S P L A J) LIBYA C/O FIRST SECY EMBASSY OF INDIA TRIPOLI LIBYA,791123,,"2072656 ,",,26081946,,,1976,7/9/2003 12:00:00 AM,NEERJA SINGH,2,,,,Senior Secondary,Provisional,1/4/2007,31/ 3/ 2012,BOARD OF MGT. EMB. OF INDIA TRIPOLI
INDIAN COMMUNITY SCHOOL,6030003,FOREIGN SCHOOLS,LIBYA,P O BOX 41247 AL-KHOMS LIBYA,,,"26727 , 30316",,,,,1983,,MRS ANNAMAL VDANAGANNI,,,,,Middle Class,Provisional,1/5/1987,31/3/1999,MANAGEMENT BOARD
GLOBAL INDIAN INTERNATIONAL SCHOOL,7430002,FOREIGN SCHOOLS,MALAYSIA,55 JALAN THOMBY ABDULLAH BRICKFIELDS KUALALUMPUR MALYASIA,160047,603,"26305780 ,",75265,,principal.kualalumpur@globalindianschool.org,,2003,7/9/2003 12:00:00 AM,HARVENDRA SINGH KHALSA,2,"MSc. , BEd.",4,22,Senior Secondary,Provisional,1/4/2017,31/ 3/ 2022,GLOBAL INDIAN EDUCATION SDN BHD
INDIAN EXPATRIATE SCHOOL,7430001,FOREIGN SCHOOLS,MALAYSIA,LOT 12 & 13 COMPLEX KELAI PEMINT BANDAR SERI KERTAL 24300 KEMAMAN TERENGGANU MALYASIA,,00609,"8266462 ,",,,,,2001,,MRS NANDINI GHARPURE,,,,,Middle Class,Provisional,"System.InvalidCastException: Conversion from type 'DBNull' to type 'Date' is not valid. at Microsoft.VisualBasic.CompilerServices.Conversions.ToDate(Object Value) at ASP.schdir_report_appviewdir_aspx.__Render__control1(HtmlTextWriter __w, Control parameterContainer)",,"System.InvalidCastException: Conversion from type 'DBNull' to type 'Date' is not valid. at Microsoft.VisualBasic.CompilerServices.Conversions.ToDate(Object Value) at ASP.schdir_report_appviewdir_aspx.__Render__control1(HtmlTextWriter __w, Control parameterContainer)"
VIKAS INTERNATIONAL SCHOOL,7430003,FOREIGN SCHOOLS,MALAYSIA,"168,JALAN KLANG LAMA,OLD KLANG ROAD , WILAYAH PERSEKUTUAN, KUALA LUMPUR,MALAYSIA",580000,0494,"006-0379822992 ,",04942643371,006-0379844992,sugumaran@ymail.com,http://www.vikas.com.my,2008,6/1/2009 12:00:00 AM,S.SUGUMARAN,2,"M.A.,M.Ed.,",07,15,Secondary School,Provisional,1/4/2018,31/3/2023,VIDHYAA VIKAS INTERNATIONAL SCHOOL SDN.BHD
EMBASSY OF INDIAN SCHOOL,5430001,FOREIGN SCHOOLS,myanmar,545-547 MERCHANT STREET RANGOON MYANMAR,,,"82550 ,",,,,,1972,,B M VYAS,,,,,Middle Class,Provisional,1/5/1982,30/4/1988,EMBASSY OF INDIA SCHOOL COMMITTEE
ALOK VIDYASHRAM,6230008,FOREIGN SCHOOLS,NEPAL,PO BOX 806 NAXAL NARAYAN CHAU KATHMANDU NEPAL,,00977-1-,"441942 , 4922383",4410065,4228324,,,,,MS BANITA AGRAWAL,2,,,,Senior Secondary,Provisional,1/4/2013,31/ 3/ 2018,SAHU HANUMAN PRASAD ALOK MEM TRUST
D A V RUKMINI BANARSI KEDIA SCHOOL,6230005,FOREIGN SCHOOLS,NEPAL,SHREEPUR BIRGANJ NEPAL,,977,"51525500 ,",5125519,5122086,chaterjji@yahoo.com,,1993,6/11/2001 12:00:00 AM,paresh chatterjee,1,"M.Sc, B.Ed",8,24,Senior Secondary,Provisional,1/4/2018,31/ 3/ 2019,birla vidya vihar trust
D A V SUSHIL KEDIA VISHWA BHARTI,6230003,FOREIGN SCHOOLS,NEPAL,PO BOX 929 KATHMANDU NEPAL,,01,"5536626 ,",270859,546440,bhuvna12@hotmail.com,,1993,4/1/2005 12:00:00 AM,Bhubaneswari Rao,1,,,,Senior Secondary,Provisional,1/4/2013,31/ 3/ 2018,managing committee
Damodar Academy,6230014,FOREIGN SCHOOLS,NEPAL,"VDC-Parikauli-04, District- Mahottari, Nepal",457000,,"00977-41-527423 ,",,,damodaracademy@gmail.com,,2009,4/5/2010 12:00:00 AM,Mr.Siya Ram Mishra,0,"M.A(HINDI), B.ED, B.T",8,25,Secondary School,Provisional,1/4/2015,31/3/2020,Damodar Academy private limited
"DEDRAJ SEWALI DEVI TODI (D.A.V.(KVB)SCHOOL,",6230007,FOREIGN SCHOOLS,NEPAL,40 SEWA MARG BIRATNAGAR - 17 NEPAL,056700,21,"470945 , 28945",22511,,ramba_v@yahoo.com,,1995,4/2/2007 12:00:00 AM,RAMESH KUMAR MISHRA,1,,,,Senior Secondary,Provisional,1/4/2017,31/ 3/ 2020,DAV COLLEGE MANAGING COMMITTEE ND
Delhi Public School,6230012,FOREIGN SCHOOLS,NEPAL,"Bishal Chowk, Ward No.6 Biratnagar",009772,977,"21462074 ,",0097721525542,-,principal.dpsbrt@gmail.com,,2010,4/1/2010 12:00:00 AM,Geeta,0,m.a. b.ed,5,19,Senior Secondary,Provisional,1/4/2015,31/ 3/ 2020,laurel educational society
DELHI PUBLIC SCHOOL,6230004,FOREIGN SCHOOLS,NEPAL,B P KOIRALA INSTITUTE OF HEALTH SCI. DHARAN NEPAL,,977,"025523308 ,",2525555,2525503,kamatchi71@rediffmail.com,,1996,4/5/2007 12:00:00 AM,P K SNAKARALINGAM,2,,,,Senior Secondary,Provisional,1/4/2018,31/ 3/ 2023,BIRLA VIDYA VIHAR TRUST
DELHI PUBLIC SCHOOL,6230009,FOREIGN SCHOOLS,NEPAL,WARD NO 8 LIMNIMAL BARA BIRAGUNJ NEPAL,,051,"411069 ,",524500,,principal.dps@cgeducation.com.np,,2004,1/6/2005 12:00:00 AM,GOURI SHANKER CHOUDHARY,1,FRGS,3,15,Senior Secondary,Provisional,1/4/2016,31/ 3/ 2021,DPS SOCIETY DELHI
EURO SCHOOL,6230015,FOREIGN SCHOOLS,NEPAL,"WARD NO.5, BHIMSEN MARG, HADIGAON, KATHMANDU, NEPAL",040616,01,"4372670 ,",,00977-1-4374998,shailajaadhikary@gmail.com,http://www.euroschool.edu.np,2007,4/21/2008 12:00:00 AM,SHAILAJA ADHIKARY,,MBA,17,21,Secondary School,Provisional,1/4/2017,31/3/2020,Vinayaka Foundation
GYANDA Academy,6230016,FOREIGN SCHOOLS,NEPAL,"Word No.- 5 KARINAGAR, RAMGARHWA - 27,",044300,,"051691921 ,",,,info@gyandaacademy.com,http://www.gyandaacademy.com,2014,5/2/2014 12:00:00 AM,MRS. CAROLINE MARY OCONNOR,1,"MA, BEd.",2,24,Secondary School,Provisional,1/4/2018,31/3/2021,Gyanda Academy Pvt Ltd
KENDRIYA VIDYALAYA,6200001,FOREIGN SCHOOLS,NEPAL,C/O EMBASSY OF INDIA NEPAL PB NO 1201 KATHMANDU NEPAL,110070,0977,"14414202 ,",411259,413132,ramisettysankar@gmail.com,http://www.kvkathmandu.ne,1973,4/1/1991 12:00:00 AM,R SANKAR,1,Phd,12,20,Senior Secondary,Provisional,1/4/2016,31/ 3/ 2019,K V S
MODERN INDIAN SCHOOL,6230002,FOREIGN SCHOOLS,NEPAL,CHOBHAR G P O NO 1497 KATHMANDU NEPAL C/O FIRST SECY EMBASSY OF INDIA KATHMANDU NEPAL,,1,"4330088 , 330088",330088,331690,rajupeter100@gmail.com,,1978,4/1/2005 12:00:00 AM,RAJU PETER,1,"MA,B.Ed,B.Lib.Info SC.",13,13,Senior Secondary,Provisional,1/4/2015,31/ 3/ 2020,MANAGING COMMITTEE
NEPAL BHARAT MAITRI VIDYALAYA,6230011,FOREIGN SCHOOLS,NEPAL,INDIAN EMBASSY PO BOX 11 PPO POKHARA NEPAL,009964,061,"430712 ,",527819,0096643980378,principalnbmv@gmail.com,http://www.risyanb.com,2004,7/19/2004 12:00:00 AM,MRITUNJAY SINGH,1,MA / M.ED,5,7,Senior Secondary,Provisional,1/4/2014,31/ 3/ 2019,DHANPAT RAI SACHDEVA MEMORIAL CHARITABLE TRUST
RAI SCHOOL,6230006,FOREIGN SCHOOLS,NEPAL,"Narayantar, Jorpati, Kathmandu, Nepal",446000,01,"4911685 , 428909",5125519,474649,pandeykp@hotmail.com,,1993,6/11/2001 12:00:00 AM,Kirti Prasad Pandey,1,"m.sc, b.ed",8,24,Senior Secondary,Provisional,1/4/2015,31/ 3/ 2020,RAMAKRISHNA & SONS CHARITABLE TRUST
RUPY'S INTERNATIONAL SCHOOL,6230013,FOREIGN SCHOOLS,NEPAL,"P.O. BOX NO.20, KATHMANDU, NEPAL",044601,01,"4282907 ,",01905-260699,14283418,rupysppl@gmail.com,http://www.rupys.edu.np,1972,4/1/2009 12:00:00 AM,RAJENDRA VERMA,2,M.COM,8,5,Secondary School,Provisional,1/4/2013,31/3/2018,DAV COLLEGE MANAGING COMMITTEE N DELHI
THE CHANDBAGH SCHOOL,6230010,FOREIGN SCHOOLS,NEPAL,BANSBARI P O BOX 10130 KATHMANDU NEPAL,,9771,"4372975 , 14370752",9779851019369,4370752,bhushangurung@gmail.com,,2004,4/14/2002 12:00:00 AM,Bhushan Chandra Sen Gurung,1,M.A. B.Ed.Ph.D.,20,20,Senior Secondary,Provisional,1/4/2019,31/ 3/ 2020,CHOUDHARY ACADEMY
BHARTIYA SCHOOL,6830002,FOREIGN SCHOOLS,NIGERIA,INDORAMA ELEME PETROCHEMICALS LTD EAST WEST EXPRESS WAY PORT HARCOURT RIVERS STATE NIGERIA-,501101,,"02348057700036 ,",,,sibivj@gmail.com,,2009,6/1/2009 12:00:00 AM,Mr.SIBI V.J.,0,"MA; M.ED, EMBA, DCA",10,16,Secondary School,Provisional,1/4/2016,31/3/2019,BHARTIYA SCHOOL TRUST
INDIAN LANGUAGE SCHOOL,6830001,FOREIGN SCHOOLS,NIGERIA,"14/16 OBA NLE ARO AVENUE, LLUPEJU, PO BOX 8240, LAGOS, NIGERIA.",,234,"80484914271 ,",0023417752666,,sonaliatils@gmail.com,http://www.ilslagos.com,1982,4/7/2005 12:00:00 AM,SONALI GUPTA,2,Phd,24,10,Senior Secondary,Provisional,1/4/2012,31/ 3/ 2017,BOARD OF TRUSTEES
INDIAN SCHOOL,6130001,FOREIGN SCHOOLS,OMAN,PO BOX 2470 RUWI MUSCAT (DARSEL) POSTAL CODE 112 C/O FIRST SECY EMBASSY OF INDIA SULTANATE OF OMAN,,0968,"24702567 , 784055",24706046,24794919,principal@ismoman.com,,1975,7/9/2003 12:00:00 AM,RAJEEV KUMAR CHAUHAN,1,M.SC. MATHS Phd B.ed,18,28,Senior Secondary,Provisional,1/4/2014,31/ 3/ 2019,INDIAN SCHOOL COMMITTEE MUSCAT
INDIAN SCHOOL,6130002,FOREIGN SCHOOLS,OMAN,PO BOX NO 2305 SALALAH POSTAL CODE 211 SULTANATE OF OMAN,,968,"99081078 , 235701",294701,235736,principal@indianschoolsalalah.com,,1981,3/1/2011 12:00:00 AM,T R BROWN,1,"M.A.,B.ed.",0,6,Senior Secondary,Provisional,1/4/2018,31/ 3/ 2023,INDIAN COMMUNITY
