Name of Institution,Affiliation Number,State,District,Postal Address,Pincode,Std Code,Office Phone No,Residence Phone No,Fax No,Email,Website,Year of Foundation,Date of First Opening of School,Name of Principal/Head of Institution,Sex,Principals Educational Professional Qualifications,Administrative No of Experience(in Years),Teaching No of Experience(in Years),Status of the School,Type of Affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/Society/Managing Committee
CAPTAIN NAROTTAM SINGH PANCHAM SINGH PUBLIC SCHOOL,2131185,UTTAR PRADESH,AGRA,"Ram Nagar, HATHRAS ROAD Khandoli Agra",283126,562,"4062879 ,",,,BEENARANI133@GAMIL.COM,,2008,3/28/2008 0:00,BEENA RANI,1,"M.Sc , M.A. , B.Ed",10,15,Senior Secondary,Provisional,1/4/2013,31/ 3/ 2016,Captian Narottam Singh Pancham Singh Bhadouria Memorial Education Society
,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL AGRA PUBLIC SCHOOL,2130341,UTTAR PRADESH,AGRA,SHAHDARA CHECK POST FIROZABAD ROAD AGRA UTTAR PRADESH,282006,562,"7535807005 , 2347848",5622520040,2855668,hariomtrivedi342@yahoo.in,,1993,6/4/1998 0:00,HARIOM TRIVEDI,1,"B.Sc. L.L.B. M.A. , B.Ed.",28,15,Senior Secondary,Provisional,1/4/2017,31/ 3/ 2022,CENTRAL AGRA EDUCATINAL SOCIETY
,,,,,,,,,,,,,,,,,,,,,,,
CH BEERI SINGH PUBLIC SCHOOL,2130608,UTTAR PRADESH,AGRA,SUNDER BAGH DAYAL BAGH AGRA UTTAR PRADESH,282005,562,"9548723100 , 2540920",70876,,arunkumartomar55@yahoo.in,,2001,1/14/2000 0:00,ARUN KUMAR TOMAR,1,M.A B.ed. Phd,15,5,Senior Secondary,Provisional,1/4/2015,31/ 3/ 2020,CH BEERI SINGH EDUCATIONAL SOC
,,,,,,,,,,,,,,,,,,,,,,,
CITY CONVENT SCHOOL,2132241,UTTAR PRADESH,AGRA,"34/46-B,MAHADEV ROAD,BALKESHWAR,AGRA.",282004,562,"6544583 ,",,,kratika.gupta04@gmail.com,http://www.ccschool.in,2006,4/3/2006 0:00,VIMMI CHADDA,,"M.A.,B.ED.",5,6,Secondary School,Provisional,1/4/2016,31/3/2019,MULIYA EDUCATIONAL EVAM SOCIAL WELFARE SOCIETY
,,,,,,,,,,,,,,,,,,,,,,,
COLONEL'S BRIGHTLAND PUBLIC SCHOOL,2130861,UTTAR PRADESH,AGRA,CILL LAKAWALI PO KALAL KHERIA AGRA UTTAR PRADESH,202001,91,"8126025444 ,",8126325444,245083,rubinakhan39@yahoo.co.in,,1968,3/16/1987 0:00,RUBINA KHANAM,1,"M.Sc., B.Ed.",5,15,Senior Secondary,Provisional,1/4/2017,31/ 3/ 2022,Smt. Baleshwari Shiksha Samiti
,,,,,,,,,,,,,,,,,,,,,,,
D. S. PUBLIC SCHOOL,2131781,UTTAR PRADESH,AGRA,"Vill. Jamal Nagar Bhains, Post Chamarola, Agra",283204,562,"2966873 ,",,,dspublicschool.agra@gmail.com,,2005,4/1/2005 0:00,Pradeep Kumar Yadav,0,"M.A. , B.Ed.",8,5,Senior Secondary,Provisional,1/4/2017,31/ 3/ 2019,Shri. Dharmajeet Singh Shikha Samiti
,,,,,,,,,,,,,,,,,,,,,,,
DAYANAND BAL MANDIR,2130203,UTTAR PRADESH,AGRA,SULTANPURA AGRA CANTT UTTAR PRADESH,282001,562,"2400168 ,",5624033562,,kulbirbhasin60@gmail.com,,1973,,Kulbir Kaur Bhasin,2,"M.A, B.Ed.",7,8,Senior Secondary,Provisional,1/4/2013,31/ 3/ 2018,DAYANAND BAL MANDIR
,,,,,,,,,,,,,,,,,,,,,,,
Delhi Public International School,2132984,UTTAR PRADESH,AGRA,"Delhi Public International School, village - Tal Semri, Deori Road Agra (U.P.)",282001,,"7409253007 ,",,,infodpisagra@gmail.com,,2016,4/1/2016 0:00,MRS. ANJANA RANI,1,"M.Sc., B.Ed.",5,4,Secondary School,Provisional,1/4/2018,31/3/2021,Om Sai Educational Trust
,,,,,,,,,,,,,,,,,,,,,,,
DELHI PUBLIC SCHOOL,2130568,UTTAR PRADESH,AGRA,E-2 PHASE F SHASTRI PURAM AGRA UTTAR PRADESH,282007,562,"3001300 , 2121978",5622527120,2641188,principal@dps.ac.in,www.dps.ac.in,2002,,VIVEK PANT,1,,,,Senior Secondary,Provisional,1/4/2014,31/ 3/ 2019,SUNIL CHARITABLE SOCIETY
,,,,,,,,,,,,,,,,,,,,,,,
DR. M.P.S WORLD SCHOOL,2131487,UTTAR PRADESH,AGRA,"AGRA-DELHI HIGHWAY,NEAR NAVEEN SABJI MANDI,SIKANDRA,AGRA",282007,562,"6453613 ,",,5624003198,changeclarance@gmail.com,http://www.abc.com,2011,4/1/2011 0:00,Charles Clarance,2,,,,Senior Secondary,Provisional,1/4/2018,31/ 3/ 2020,MATA JHANDEWALA EDUCATIONAL AND WELFARE SOCIETY
,,,,,,,,,,,,,,,,,,,,,,,
DR. MARIA RESIDENTIAL ACADEMY,2130103,UTTAR PRADESH,AGRA,SIKANDARA BODLA AGRA UTTAR PRADESH,282007,562,"6542178 ,",9838161560,,mariamohan_06@yahoo.co.in,,1989,4/1/2007 0:00,NEERAJ MOHAN,2,"M.sc, B.ed",5,15,Senior Secondary,Provisional,1/4/2018,31/ 3/ 2019,Smt. Ramdulari brijrajnath tewari sanskritik kendra
,,,,,,,,,,,,,,,,,,,,,,,
ESS ESS CONVENT SCHOOL,2130441,UTTAR PRADESH,AGRA,MAUZA GHAT WASAN AGRA UTTAR PRADESH,282005,562,"6540901 ,",,,smmishra1735@gmail.com,,1994,7/4/1988 0:00,SHAILENDRA MOHAN MISHRA,0,,,,Senior Secondary,Provisional,1/4/2016,31/ 3/ 2021,SHISHU SHIKSHA SOCIETY
,,,,,,,,,,,,,,,,,,,,,,,
"g. d. goenka public school, agra",2131364,UTTAR PRADESH,AGRA,"bodla-bichpuri road, agra",283105,562,"9568011007 ,",,"0562-4012209,2967052",principal@gdgoenkaagra.com,http://www.gdgoenkaagra.com,2011,4/6/2011 0:00,PUNEET VASHISHTHA,1,,,,Senior Secondary,Provisional,1/4/2017,31/ 3/ 2022,k.p.s. educational trust
,,,,,,,,,,,,,,,,,,,,,,,
G.L. School,2132098,UTTAR PRADESH,AGRA,"VILLAGE MAHUAR, KIRAOLI, AGRA",283122,562,"7055502164 ,",,,atulkulshrestha101@gmail.com,,2014,4/1/2014 0:00,ATUL KUMAR KULSHRESTHA,1,"M.Sc, B.ed, P.hd",16,10,Senior Secondary,Provisional,1/4/2017,31/ 3/ 2020,Shri. G.L. Goyal Educational Trust
,,,,,,,,,,,,,,,,,,,,,,,
G.S. Public School,2132026,UTTAR PRADESH,AGRA,"Abidgarh, Khandauli, Agra, UP",283126,562,"283576 ,",,5661,gspabid@gmail.com,http://www.gspschool.com,2012,4/1/2012 0:00,SOHINI JAIN,0,M.Sc.B.Ed,8,10,Senior Secondary,Provisional,1/4/2017,31/ 3/ 2020,SHRI GANPAT SINGH SHIKSHA SAMITI
,,,,,,,,,,,,,,,,,,,,,,,
GANESH RAM NAGAR SARASWATI BALIKA VIDYA MANDIR,2130570,UTTAR PRADESH,AGRA,BALKESHEWAR AGRA UTTAR PRADESH,282004,562,"8899816313 ,",,,mitas64@gmail.COM,,1999,,AMITA SHARMA,0,,,,Senior Secondary,,Senior Secondary,,Senior Secondary
,,,,,,,,,,,,,,,,,,,,,,,
GAYATRI PUBLIC SCHOOL,2130817,UTTAR PRADESH,AGRA,"152, MAUZ MOHAMMEDPUR, SHASTRIPURAM, AGRA, UP",282003,91,"9756744555 ,",,,kalyanicdixit@gmail.com,,2011,4/1/2011 0:00,Kalyani Dixit,0,,,,Senior Secondary,Provisional,1/4/2016,31/ 3/ 2021,GAYATRI SHIKSHA SAMITI
,,,,,,,,,,,,,,,,,,,,,,,
Global Agra Convent School,2131901,UTTAR PRADESH,AGRA,"Bada Gaon Shamshabad Road,Agra,UP",283125,562,"2303955 ,",7906332911,0562-3267757,vprawat111@gmail.com,http://www.globalagraconventschool.com,2013,3/1/2013 0:00,Vishnu Prakash Rawat,1,M.A.M.Ed,5,8,Senior Secondary,Provisional,1/4/2017,31/ 3/ 2020,Global Agra Shiksha Samiti
,,,,,,,,,,,,,,,,,,,,,,,
Green Land Convent School,2131029,UTTAR PRADESH,AGRA,"greenland convent school achnera, agra",283108,5613,"265091 ,",9888531233,0522-287032,greenland54501@gmail.com,http://www.gcs.com,2004,7/1/2004 0:00,REETA SIKARWAR,1,"M.A., B.Ed.",3,7,Senior Secondary,Provisional,1/4/2014,31/ 3/ 2019,Green land Convent Shikha Samit
,,,,,,,,,,,,,,,,,,,,,,,
HERITAGE GLOBAL SCHOOL,2132971,UTTAR PRADESH,AGRA,"VILL.- DAWLI, KIRAOLI, AGRA",283122,,"7417049865 ,",,,heritageglobalschool5@gmail.com,,2016,4/1/2016 0:00,Mr.VEER BHAN SINGH CHAUCHAN,0,"M.Sc., B.Ed.",20,8,Secondary School,Provisional,1/4/2018,31/3/2021,Heritage Global Charitable Trust
,,,,,,,,,,,,,,,,,,,,,,,
HERITAGE PUBLIC SCHOOL,2131702,UTTAR PRADESH,AGRA,"11/A/111, F NANDLALPUR, HATHRAS ROAD AGRA",282006,562,"6888841 ,",,,hpsagra04@gmail.com,,2009,4/1/2009 0:00,SHARMILA GUPTA,0,"M.A. , B.Ed.",6,7,Senior Secondary,Provisional,1/4/2016,31/ 3/ 2019,HARITAGE PUBLIC SCHOOL SIKHSA SAMITI
,,,,,,,,,,,,,,,,,,,,,,,
HILLMAN PUBLIC SCHOOL,2130895,UTTAR PRADESH,AGRA,"LADAMADA, BICHPURI, AGRA, UP",282005,562,"4005636 ,",,06158-281227,pokhariyal@hotmail.com,,2005,4/4/2005 0:00,Anshupriya,0,"M.A., B.Ed.",3,10,Senior Secondary,Provisional,1/4/2018,31/ 3/ 2019,Shri Radhakrishna Shiksha Evam Sanskratik Samiti
,,,,,,,,,,,,,,,,,,,,,,,
HOLY LIGHT PUBLIC SCHOOL,2131988,UTTAR PRADESH,AGRA,Fatehpur Sikri Road Laramda Agra UP,282010,5622,"2210084 ,",,,principalhlps75@gmail.com,,2013,4/1/2013 0:00,VINOD KUMAR SHARMA,0,"M.B.A. , B.Ed.",6,6,Senior Secondary,Provisional,1/4/2017,31/ 3/ 2020,Som Holy Light Public School Siksha Samiti
,,,,,,,,,,,,,,,,,,,,,,,
HOLY PUBLIC JUNIOR COLLEGE,2130874,UTTAR PRADESH,AGRA,S-4 AVAS VIKAS COLONY SIKANDRA BOUA YOJNA AGRA UTTAR PRADESH,282007,562,"2278432 ,",5943251924,,neelima.hpjc@gmail.com,,1986,7/1/2000 0:00,NEELIMA SHARMA,1,"m.a. (hindi), b.ed.",10,10,Secondary School,Provisional,1/4/2015,31/3/2020,
,,,,,,,,,,,,,,,,,,,,,,,
HOLY PUBLIC SCHOOL,2130127,UTTAR PRADESH,AGRA,SIKANDRA ROAD AGRA UTTAR PRADESH,282302,562,"8881993152 ,",0562-4030740,2520065,rtomar45@gmail.com,,1979,4/5/2005 0:00,RADHA TOMAR,1,M.A. B.ED,17,6,Senior Secondary,Provisional,1/4/2017,31/ 3/ 2022,HOLY NURSERY SCHOOL SAMITI
,,,,,,,,,,,,,,,,,,,,,,,
J MILTON PUBLIC SCHOOL,2132866,UTTAR PRADESH,AGRA,Barhan Road Etmadpur,283203,,"9634747419 ,",,,jmpsetmadpur@gmail.com,http://www.jmpsetmadpur.com,2016,4/4/2016 0:00,MRS. PRIYA AGRAWAL,1,"M.Com, B.ed",7,6,Senior Secondary,Provisional,1/4/2019,31/ 3/ 2022,A Milton Siksha Evam Vikas Samiti
,,,,,,,,,,,,,,,,,,,,,,,
J.D.N. School,2132978,UTTAR PRADESH,AGRA,Bagh Rohta Gwalior Road Bamroli Lane Agra,282009,,"0562 ,",,562,dr.ajaychaudhary011@gmail.com,http://www.jdnschool.com,2006,4/1/2006 0:00,Mr.Pushpender Chaudhary,,M.A.B.Ed,5,7,Secondary School,Provisional,1/4/2018,31/3/2021,Janki Devi Memorial Trust
,,,,,,,,,,,,,,,,,,,,,,,
J.R.M. International School,2132570,UTTAR PRADESH,AGRA,"Vill- Sahai ,Achnera Road Bichpuri Agra",283105,,"0562 ,",,562,jrminternationalschool@gmail.com,http://www.jrmis.com,2015,4/1/2015 0:00,Mrs.Deepika,,M.B.A.B.Ed,5,5,Secondary School,Provisional,1/4/2017,31/3/2020,J.R.M. Charitable Education Trust
,,,,,,,,,,,,,,,,,,,,,,,
JAWAHAR NAVODAYA VIDYALAYA,2140019,UTTAR PRADESH,AGRA,KOLARA KALAN DISTT AGRA UTTAR PRADESH,282003,562,"2865008 ,",40231,,jnv87agra@gmail.com,,1988,,RAMBIR SINGH,0,,,,Senior Secondary,Provisional,1/4/2015,31/ 3/ 2020,NAVODAYA VIDYALAYA SAMITI
,,,,,,,,,,,,,,,,,,,,,,,
JIM CORBETT PUBLIC SCHOOL,2131835,UTTAR PRADESH,AGRA,"44,R.K.Puram,Gallana Road,Agra,UP",282010,562,"9412734100 ,",,562,jimcorbett97@gmail.com,,2000,4/1/2000 0:00,krishna singh,0,M.A.P.hd,10,8,Senior Secondary,Provisional,1/4/2016,31/ 3/ 2019,Shakti Education Society
,,,,,,,,,,,,,,,,,,,,,,,
JOHN MILTON PUBLIC SCHOOL,2130308,UTTAR PRADESH,AGRA,"NEHRU ENCLAVE, SHAMSABAD ROAD, AGRA UTTAR PRADESH",282001,562,"2480366 , 2330466",,,purumam@gmail.com,,1992,4/1/2006 0:00,MAMTA DUBEY,0,"m.a., b.ed.",1,32,Senior Secondary,Provisional,1/4/2015,31/ 3/ 2020,JOHN MILTON SHIKSHA SAMITI
,,,,,,,,,,,,,,,,,,,,,,,
K.M.Public School,2131018,UTTAR PRADESH,AGRA,"Kirawali,Agra",282010,5613,"244485 ,",,05613-244485,,,2004,4/1/2004 0:00,NARENDRA PAL SINGH,0,M.A.B.Ed,10,15,Senior Secondary,Provisional,1/4/2014,31/ 3/ 2019,Shiva Shiksha Samiti
,,,,,,,,,,,,,,,,,,,,,,,
K.S.I. College,2132724,UTTAR PRADESH,AGRA,Patholi Agra,283105,562,"9412255095 ,",,562,ksicollege20@gmail.com,http://www.ksic.org,2011,3/1/2011 0:00,HARENDRA SINGH,,M.A. B.Ed,8,10,Secondary School,Provisional,1/4/2017,31/3/2020,K.S. Shiksha Samiti
,,,,,,,,,,,,,,,,,,,,,,,
KENDRIYA VIDYALAYA NO 1,2100001,UTTAR PRADESH,AGRA,AIR FORCE STATION AGRA UTTAR PRADESH,282008,562,"2400754 ,",74144,,drhpsingh1972@gmail.com,,1963,4/1/1991 0:00,H P SINGH,1,,,,Senior Secondary,Provisional,1/4/2011,31/ 3/ 2021,KENDRIYA VIDYALAYA SANGATHAN
,,,,,,,,,,,,,,,,,,,,,,,
kendriya vidyalaya no 2,2100002,UTTAR PRADESH,AGRA,grand parade road agra cantt uttar pradesh,282001,562,"2227328 ,",64835,,principalkv2agracantt@gmail.com,,1964,1/25/2009 0:00,SUDHAKARAN PV,1,,,,Senior Secondary,Provisional,1/4/2014,31/ 3/ 2019,kendriya vidyalaya sangathan
,,,,,,,,,,,,,,,,,,,,,,,
kendriya vidyalaya no 3,2100063,UTTAR PRADESH,AGRA,agra cantt barrack road uttar pradesh,282001,562,"2413580 ,",6689026,,PRINCIPALKV3AGRA@GMAIL.COM,,1986,4/1/1991 0:00,PRABHA GAUR,1,m.sc. b.ed,7,25,Senior Secondary,Provisional,1/4/2016,31/ 3/ 2019,kendriya vidyalaya sangathan
,,,,,,,,,,,,,,,,,,,,,,,
KRISHNA INTERNATIONAL SCHOOL,2132226,UTTAR PRADESH,AGRA,"VILL. HINGOT KHERIA, BAMRAULI KATARA, AGRA",282001,562,"7500760061,7060292959, ,",,,principal@kisa.co.in,http://kisa.co.in,2012,4/1/2014 0:00,MR. KULDEEP SINGH YADAV,1,"M.A, B.Ed.",6,10,Senior Secondary,Provisional,1/4/2018,31/ 3/ 2021,"Lord Shir Banke Bihari Educational& Welfare Society, Krishna Palace, Vill. Mahua Khera, Agra"
,,,,,,,,,,,,,,,,,,,,,,,
KUNAL PUBLIC SCHOOL,2132892,UTTAR PRADESH,AGRA,NH-3 TEHRA GWALIOR ROAD AGRA,283124,,"05613-216464 ,",,05613-216464,dskt71@gmail.com,http://www.kpsagra.org,2014,3/1/2014 0:00,Mr.DEVENDER TYA,,M.A M.Ed.,6,5,Secondary School,Provisional,4/1/2017,31/3/2020,VANSH EDUCATIONAL CHARITABLE TRUST
,,,,,,,,,,,,,,,,,,,,,,,
lifeline public school,2131214,UTTAR PRADESH,AGRA,"c-1/c-2, site-c, u.p.s.i.d.c., sikandara",282007,562,"2640510 ,",,2640510,duashweta108@yahoo.in,,2001,6/28/2001 0:00,SHWETA DUA,1,"b.sc. ( ag. ), b.ed.",5,10,Senior Secondary,Provisional,1/4/2016,31/ 3/ 2021,shakuntla devi educational trust
,,,,,,,,,,,,,,,,,,,,,,,
LITTLE ANGELS SCHOOL,2132529,UTTAR PRADESH,AGRA,"BLOCK-C,TRANS YAMUNA COLONY,PHASE-1,AGRA",282006,,"05622240022 ,",,5622240022,vinaytbn@rediffmail.com,http://www.littleangelsschool.in,1997,4/1/1997 0:00,Mrs.NEETU SHARMA,,"M.A,B.ED",5,7,Secondary School,Provisional,1/4/2017,31/3/2020,"LITTLE ANGELS EDUCATIONAL SOCIETY,AGRA."
,,,,,,,,,,,,,,,,,,,,,,,
M S PUBLIC SCHOOL,2131333,UTTAR PRADESH,AGRA,"Vill +Post -Midhakur,",283105,562,"2780242 ,",,0562-2780242,mspublicschool@gmail.com,,2009,4/1/2009 0:00,BHAVANA KULSHRETHA,0,M.Sc. B.Ed.,7,10,Senior Secondary,Provisional,1/4/2017,31/ 3/ 2022,"M.S. SIKSHA SAMITI. VILL+POST-MIDHAKUR,AGRA"
,,,,,,,,,,,,,,,,,,,,,,,
M.R. Convent School,2131866,UTTAR PRADESH,AGRA,"NH-2 Agra Firozabad Road,Nawalpur,Etmadpur,Agra",283002,562,"2851212 ,",,0562-2851212,nirupamgupta08@gmail.com,http://www.mrcs.com,2009,4/1/2009 0:00,SHALINI GUPTA,2,M.Sc.B.Ed,5,7,Secondary School,Provisional,1/4/2017,31/3/2022,M.R. Gupta Charitable Trust
,,,,,,,,,,,,,,,,,,,,,,,
MAA BHAGWATI PUBLIC SCHOOL,2130812,UTTAR PRADESH,AGRA,VAYU VIHAR COLONY PATHOLI FATEHPUR SIKRI ROAD AGRA UP,282010,562,"2637066 ,",25099545,3812342572,rprai.home01@gmail.com,,2001,4/1/2005 0:00,Ram Prakash Rai,2,"Ba, BEd",5,10,Secondary School,Provisional,1/4/2015,31/3/2018,MAA BHAGWATI PUBLIC SCHOOL SOCIETY
,,,,,,,,,,,,,,,,,,,,,,,
MAHI INTERNATIONAL SCHOOL,2132192,UTTAR PRADESH,AGRA,,283124,5613,"216026 ,",,,principalmahi@gmail.com,http://www.mahischool.ac.in,2010,4/1/2014 0:00,yogesh jain,1,MCA MCM B. Sc. B.Ed.,5,17,Senior Secondary,Provisional,1/4/2018,31/ 3/ 2021,MATARANI TRUST
,,,,,,,,,,,,,,,,,,,,,,,
MANGLIK SHIKSHA KENDRA,2130690,UTTAR PRADESH,AGRA,BAMROULI KATRA FATEHABAD ROAD AGRA UTTAR PRADESH,282006,562,"9412257707 ,",9719054032,,ranameenu87@yahoo.com,,1999,4/1/2003 0:00,MEENA RANA,1,"BBA,MA,MCOM,BED.",14,10,Secondary School,Provisional,1/4/2013,31/3/2018,P C MANGLIK CHARITABLE TRUST
,,,,,,,,,,,,,,,,,,,,,,,
MILTON PUBLIC SCHOOL,2130213,UTTAR PRADESH,AGRA,ASHOK VIHAR KEDAR NAGAR SHAHGANJ AGRA UTTAR PRADESH,282010,562,"2212211 , 212211",550909,,prachirajkul@gmail.com,,1986,4/1/2005 0:00,PRACHI SINGH,2,,,,Senior Secondary,Provisional,1/4/2015,31/ 3/ 2020,MILTON PUB SCH SAMITI
,,,,,,,,,,,,,,,,,,,,,,,
